hour_of_day,trades,winrate,expectancy,profit_factor,avg_pnl
13,68,0.029411764705882353,-0.26245103926240043,0.026535135970515867,-0.26245103926240043
15,413,0.031476997578692496,-0.3208858990011175,0.02856582143630818,-0.3208858990011175
14,382,0.02356020942408377,-0.36502348978462595,0.03960215652454335,-0.36502348978462595
16,473,0.019027484143763214,-0.3997601281313068,0.02193609469396605,-0.3997601281313068
18,408,0.0196078431372549,-0.4451124531474418,0.015816794247828055,-0.4451124531474418
17,243,0.01646090534979424,-0.4866300096631144,0.023951365131967196,-0.4866300096631144
21,306,0.03594771241830065,-0.5522217904591936,0.08958586443780946,-0.5522217904591936
19,583,0.00686106346483705,-0.58567944351586,0.022793030923442936,-0.58567944351586
20,561,0.0106951871657754,-0.6020185377205332,0.006046075293219652,-0.6020185377205332
22,393,0.04071246819338423,-0.6379582912972184,0.11218903043183492,-0.6379582912972184
0,229,0.039301310043668124,-0.6644278738487219,0.07208355150800327,-0.6644278738487219
1,361,0.027700831024930747,-0.7854973725141707,0.03181104664236964,-0.7854973725141707
2,381,0.06299212598425197,-0.8526508823632406,0.10286527066235134,-0.8526508823632406
23,248,0.024193548387096774,-0.8995884218858065,0.012108944897956836,-0.8995884218858065
3,591,0.02707275803722504,-0.9640946818801552,0.023941633673147507,-0.9640946818801552
4,665,0.02706766917293233,-1.1417390163577223,0.022747648497806798,-1.1417390163577223
9,115,0.05217391304347826,-1.2304337622894177,0.061841452509164785,-1.2304337622894177
6,258,0.050387596899224806,-1.2692057494989257,0.055244868201633296,-1.2692057494989257
10,250,0.04,-1.3467044303107614,0.06295816217540685,-1.3467044303107614
5,350,0.03142857142857143,-1.5030312441154494,0.02675552484421463,-1.5030312441154494
8,42,0.09523809523809523,-1.7474922870634018,0.15054792265970415,-1.7474922870634018
7,70,0.07142857142857142,-1.7856812630864631,0.05716267800643883,-1.7856812630864631
11,56,0.10714285714285714,-1.7993141085296311,0.02012857288801808,-1.7993141085296311
