pnl,drawdown
-0.06960724949118643,0.0
-0.19796327410399925,-0.19796327410399925
-0.7374793637087877,-0.935442637812787
-0.30292077446397697,-1.2383634122767642
-0.3612073103832042,-1.5995707226599682
-0.28212940000000875,-1.881700122659977
-0.45835005980798704,-2.340050182467964
-0.29019434065438954,-2.6302445231223537
-0.10920627765600127,-2.739450800778355
-0.09823415457920066,-2.8376849553575556
-0.13097254801677652,-2.9686575033743323
-0.09483157724797439,-3.0634890806223067
-0.40998359999995804,-3.473472680622265
-0.32277000974401826,-3.796242690366283
-0.19993958060799516,-3.9961822709742787
-0.3044149743199922,-4.300597245294271
-0.379271792899984,-4.679869038194255
-0.270009616464009,-4.949878654658264
-0.7862895898799791,-5.736168244538243
-0.1424098259167857,-5.878578070455029
-0.188337199999984,-6.066915270455013
-0.40202042908800073,-6.468935699543014
-0.20006078060799207,-6.668996480151006
-0.16045245035519415,-6.8294489305062
-1.3091933737063077,-8.138642304212508
-0.19452598060801363,-8.333168284820522
-0.2134791820479774,-8.5466474668685
-0.13612027822077077,-8.68276774508927
-0.395036445935994,-9.077804191025264
-0.4791274680815889,-9.556931659106853
-0.16036797039357914,-9.717299629500433
-0.44452943897599084,-10.161829068476424
-0.13743783959359696,-10.29926690807002
-0.29899636422398274,-10.598263272294004
-0.4753166448800029,-11.073579917174007
-0.18036809445598856,-11.253948011629996
-0.19277207942243596,-11.446720091052432
-0.2550451951520015,-11.701765286204434
-0.18449807815034186,-11.886263364354777
-0.2927023999999751,-12.178965764354752
-0.18279847539998362,-12.361764239754736
-0.3616917623000101,-12.723456002054746
-0.16671980601602793,-12.890175808070774
-0.18426107523358637,-13.07443688330436
-0.24502449124001652,-13.319461374544376
-0.1206289878815585,-13.440090362425934
-0.3561058193919776,-13.796196181817912
-0.48198306662398954,-14.278179248441901
-0.06553236678398695,-14.343711615225889
-0.1313937425231786,-14.475105357749067
-0.36723701967997624,-14.842342377429043
-0.2716752940719893,-15.114017671501033
-0.2044388399999908,-15.318456511501024
-0.15630296427358015,-15.474759475774604
-0.387309446999965,-15.862068922774569
-0.17187847371997428,-16.03394739649454
-0.1519499344048324,-16.185897330899373
0.08939477519199229,-16.09650255570738
-0.22250786017595525,-16.319010415883337
-0.25187687644000023,-16.570887292323338
-0.18755549603998728,-16.758442788363325
-0.14657776440479608,-16.90502055276812
-0.17313446831999904,-17.078155021088122
-0.32201919112799327,-17.400174212216115
-0.4573800431999732,-17.857554255416087
-0.13341596543998135,-17.990970220856067
-0.18915117062398762,-18.180121391480053
0.3970776701360031,-17.78304372134405
-0.12743566444798304,-17.910479385792033
-0.42366965088960207,-18.334149036681634
-0.8167489229087921,-19.150897959590427
-0.09635085667998594,-19.247248816270414
-2.0728998312799862,-21.3201486475504
-0.16872983492158292,-21.488878482471982
1.4104893914400076,-20.078389091031976
-0.2903979999999427,-20.36878709103192
-0.14667021435917238,-20.51545730539109
-0.37805120000000125,-20.893508505391093
-0.13813703920477083,-21.031645544595865
-0.2865528599999904,-21.318198404595854
-0.4415904328320279,-21.759788837427884
-0.17376809128798607,-21.93355692871587
-0.2784209999999784,-22.211977928715847
-0.05686249245604147,-22.268840421171888
-0.2456443898239662,-22.514484810995853
-0.21828510622560998,-22.732769917221464
-0.13706117731601453,-22.869831094537478
-0.16774476721599726,-23.037575861753474
-0.11925957828476907,-23.156835440038243
-0.138002914347985,-23.29483835438623
-0.08747453831997717,-23.382312892706206
-0.17507942163599022,-23.557392314342195
-0.5476925252943823,-24.10508483963658
-0.9334881536175801,-25.03857299325416
-1.163668986912002,-26.20224198016616
-0.2058055825280079,-26.40804756269417
-0.3295165140951883,-26.737564076789358
-0.14750020981439374,-26.88506428660375
-0.24478556155194486,-27.129849848155697
-0.31315811999998,-27.443007968155676
-0.21308986501438132,-27.656097833170058
-0.3405965348296082,-27.996694367999666
-0.43148199999998876,-28.428176367999654
-0.2934680456105004,-28.721644413610154
-0.37075768078271953,-29.092402094392874
-0.3516895884799933,-29.444091682872866
-0.38751599999997455,-29.83160768287284
-0.4063211999999927,-30.237928882872833
-0.3025199000000065,-30.54044878287284
-0.2446099615040016,-30.78505874437684
-0.24978178987199917,-31.03484053424884
-0.3580575900159834,-31.392898124264825
-0.32248730770396516,-31.71538543196879
-0.6212681746343334,-32.33665360660313
-0.3616033298863549,-32.698256936489486
-0.3294446840879735,-33.02770162057746
-0.22857628480800027,-33.25627790538546
-0.33462247655197214,-33.59090038193743
-0.4184045502621605,-34.00930493219959
0.25903116902402307,-33.75027376317557
-0.20672594748556683,-33.95699971066114
-0.30118739999997923,-34.25818711066112
-0.6158241186799948,-34.874011229341114
-0.4046651999999947,-35.27867642934111
-0.5123934832640114,-35.791069912605124
-0.39558527999999793,-36.18665519260512
-0.40357478000000324,-36.59022997260513
-0.40061918399997476,-36.9908491566051
-0.20667042747116293,-37.19751958407626
-0.15550506418560378,-37.353024648261865
-0.1406618362799671,-37.49368648454183
-0.4316385999999752,-37.92532508454181
-0.29332436340542095,-38.21864944794723
-0.29185519999997434,-38.5105046479472
-0.16911916563198331,-38.679623813579184
-0.30103199999996266,-38.98065581357915
-0.3884846799999517,-39.3691404935791
-0.2790319999999904,-39.6481724935791
-0.38263679999996636,-40.03080929357906
-0.30424952000000005,-40.33505881357906
-0.4425181589087871,-40.77757697248785
-0.24489836140793542,-41.022475333895784
-0.34772478771200466,-41.37020012160779
-0.4057785300000077,-41.775978651607794
-0.567978040166385,-42.34395669177418
-0.5126744000000142,-42.8566310917742
-0.8909356155599878,-43.74756670733419
-0.5072860165559838,-44.25485272389017
-0.30936060000000937,-44.56421332389018
-0.6327590130579106,-45.19697233694809
-0.2988143999999646,-45.495786736948055
-0.30405759999999576,-45.79984433694805
-0.40489439999999777,-46.204738736948045
-0.393579048816001,-46.598317785764046
-0.4003777400000085,-46.998695525764056
-0.2616095669759775,-47.26030509274003
-0.5263358715359518,-47.78664096427598
-0.44639994640634073,-48.23304091068232
-0.18919179999997615,-48.422232710682295
-0.3191159087999688,-48.74134861948227
-1.4444462232959743,-50.18579484277824
-0.3853440207359997,-50.57113886351424
-0.5515539363999631,-51.122692799914205
-0.39908454205699984,-51.5217773419712
-0.24159593285517603,-51.76337327482638
-0.32537878070399895,-52.08875205553038
-0.3065439777279829,-52.39529603325836
-0.3793415049863894,-52.774637538244754
-0.6001148649040056,-53.37475240314876
-0.6918828729119975,-54.06663527606076
-1.1155712153825803,-55.18220649144334
-0.5697246384479915,-55.75193112989133
-0.46157804367997546,-56.21350917357131
-0.5593618311640114,-56.77287100473532
-0.5584896622079799,-57.331360666943304
-0.40086895999999017,-57.732229626943294
-0.9776481113599329,-58.70987773830323
-0.5785658040831976,-59.288443542386425
-0.40506209999999077,-59.69350564238641
-0.3602480134399744,-60.053753655826384
-0.6458011037026479,-60.69955475952903
-0.3433201873759887,-61.042874946905016
-0.13242375056064948,-61.175298697465664
-0.3658643889119942,-61.54116308637766
-0.3350915801279989,-61.87625466650566
-0.4087367713919715,-62.28499143789763
-0.30145379999997246,-62.58644523789761
-0.3037875200000033,-62.89023275789761
-0.19429794911997758,-63.084530707017585
-0.3116929199999911,-63.39622362701758
-0.38528219999997115,-63.78150582701755
-0.3774628846455924,-64.15896871166314
-0.4045111399999769,-64.56347985166312
-0.40587399999998464,-64.9693538516631
-0.6721728741479501,-65.64152672581105
1.0357375397712523,-64.6057891860398
-0.28032619476799714,-64.8861153808078
-0.6366847436940399,-65.52280012450183
-0.886279785895972,-66.4090799103978
-0.6017265582327602,-67.01080646863055
-0.20644339999999,-67.21724986863053
0.044128838368874046,-67.17312103026165
-0.6000951451439261,-67.77321617540558
-0.5251065529776079,-68.29832272838318
-0.1155337575200017,-68.41385648590318
-0.44578713463197417,-68.85964362053515
-0.2180549688757045,-69.07769858941086
-0.5958021657055749,-69.67350075511644
-0.832730599479979,-70.50623135459641
-0.31243239999999994,-70.81866375459641
-0.29954999999999266,-71.11821375459641
-0.08785587573599955,-71.20606963033241
-0.33147401003200916,-71.53754364036442
-0.32584558564794613,-71.86338922601236
-0.38451070491917144,-72.24789993093152
-0.4916975846223073,-72.73959751555383
-0.4032875136705408,-73.14288502922436
-0.46558681857598233,-73.60847184780035
-0.5124040254399791,-74.12087587324032
-0.4312335999999478,-74.55210947324026
-0.4815327166319818,-75.03364218987224
-0.3396122681743865,-75.37325445804663
-0.4424245306415786,-75.8156789886882
-0.30922061872637796,-76.12489960741458
-0.6042433540063643,-76.72914296142095
-0.19042849613599713,-76.91957145755694
-0.6051211460639913,-77.52469260362093
-0.335257180127964,-77.8599497837489
-0.6117045747119865,-78.4716543584609
-0.30533880000001634,-78.77699315846091
-0.20641119999999638,-78.9834043584609
-0.29241991999998634,-79.27582427846089
-0.22522228192799282,-79.50104656038889
-0.31063670501597507,-79.81168326540487
-0.2998371746079437,-80.11152044001281
-0.3878472837119592,-80.49936772372477
-0.6417283269839047,-81.14109605070868
-0.4311087291966097,-81.57220477990529
-0.2520431602559684,-81.82424794016126
-0.3363260817839705,-82.16057402194522
-0.4312335999999478,-82.59180762194516
-0.3000395999999769,-82.89184722194514
-0.2777447561696007,-83.16959197811474
-0.30039680000001096,-83.46998877811475
-0.5886496453119437,-84.0586384234267
-0.9125580160399649,-84.97119643946667
-0.34403374467836983,-85.31523018414504
-0.15179720647680545,-85.46702739062184
-0.2093249525241397,-85.67635234314598
-0.4571248401279658,-86.13347718327394
-0.4317869982069639,-86.5652641814809
-0.39697310275997055,-86.96223728424087
-0.36068459857835006,-87.32292188281922
-0.3933283199999535,-87.71625020281917
-0.2983754599999905,-88.01462566281916
-0.4016983999999547,-88.41632406281911
-0.7536984799679818,-89.1700225427871
-0.5808286838479355,-89.75085122663504
-0.4015935999999768,-90.152444826635
-0.20634679999998295,-90.35879162663498
-0.10565093260803349,-90.46444255924301
-0.348646387711947,-90.81308894695496
-0.3055457999999765,-91.11863474695494
-0.4015261677143317,-91.52016091466928
-0.2815049951769838,-91.80166590984626
-0.29266012000000985,-92.09432602984627
-0.289833573119995,-92.38415960296626
-0.4078099199999585,-92.79196952296623
-0.05428716726397846,-92.8462566902302
-0.2854054587526045,-93.13166214898281
-0.373775620064015,-93.50543776904682
-0.7736202309143695,-94.2790579999612
-0.4284599999999571,-94.70751799996115
-0.30596397407996523,-95.01348197404111
-0.3585432101759929,-95.37202518421711
-0.27867599135997034,-95.65070117557708
-0.18099174772800858,-95.8316929233051
-0.730848082799949,-96.56254100610505
-0.15587961566636838,-96.71842062177141
-0.15616496271597588,-96.87458558448739
-0.6086641628879776,-97.48324974737537
-1.0002560060387928,-98.48350575341416
-0.4027631999999698,-98.88626895341413
-0.47040641689600227,-99.35667537031013
-0.4042030279999879,-99.76087839831011
-0.4808370453599926,-100.2417154436701
-0.49026372220961456,-100.73197916587972
-0.40185467999995805,-101.13383384587968
