,pnl_net,mfe_ratio,mae_ratio,profit_capture_ratio
count,7446.0,7440.0,7440.0,5085.0
mean,-0.7817881871277601,0.30186353997790827,-0.3571710419371437,-24025527.076002575
std,1.0520422522125965,0.46503264587730875,0.4416776447298706,343114031.10483414
min,-23.416089077970916,0.0,-5.258332765991852,-14964184113.544182
25%,-0.9890787566671659,0.0,-0.598351123711452,-4129.831437639985
50%,-0.5999284076483733,0.23170977381810803,-0.19178407877896803,-349.434391999487
75%,-0.3387730477337804,0.3961141605688859,0.0,-9.139345243165812
max,18.883969783670434,17.204981734485344,0.0,47025.77660253871
