,entry_delay_ms,pnl_net
count,7446.0,7446.0
mean,0.0,-0.7817881871277601
std,0.0,1.0520422522125965
min,0.0,-23.416089077970916
25%,0.0,-0.9890787566671659
50%,0.0,-0.5999284076483733
75%,0.0,-0.3387730477337804
max,0.0,18.883969783670434
