,trigger_strength,pnl_net
count,7446.0,7446.0
mean,0.430723162218394,-0.7817881871277601
std,0.08330329415595286,1.0520422522125965
min,0.3000419047696724,-23.416089077970916
25%,0.3590544193410637,-0.9890787566671659
50%,0.42565547747802635,-0.5999284076483733
75%,0.49175767626123984,-0.3387730477337804
max,0.7163800199570998,18.883969783670434
