pnl_net,equity,drawdown,rolling_sharpe,rolling_expectancy,rolling_winrate
-0.06960724949118643,-0.06960724949118643,0.0,,,
-0.19796327410399925,-0.2675705235951857,-0.19796327410399925,,,
-0.7374793637087877,-1.0050498873039735,-0.935442637812787,,,
-0.30292077446397697,-1.3079706617679505,-1.2383634122767642,,,
-0.3612073103832042,-1.6691779721511546,-1.5995707226599682,,,
-0.28212940000000875,-1.9513073721511633,-1.881700122659977,,,
-0.45835005980798704,-2.4096574319591504,-2.340050182467964,,,
-0.29019434065438954,-2.69985177261354,-2.6302445231223537,,,
-0.10920627765600127,-2.8090580502695413,-2.739450800778355,,,
-0.09823415457920066,-2.907292204848742,-2.8376849553575556,,-0.2907292204848742,
-0.13097254801677652,-3.0382647528655187,-2.9686575033743323,,-0.27620588662413803,
-0.09483157724797439,-3.133096330113493,-3.0634890806223067,,-0.26109136084279105,
-0.40998359999995804,-3.5430799301134512,-3.473472680622265,,-0.272544610008727,
-0.32277000974401826,-3.8658499398574695,-3.796242690366283,,-0.2761321385612478,
-0.19993958060799516,-4.065789520465465,-3.9961822709742787,,-0.27105263469769764,
-0.3044149743199922,-4.370204494785457,-4.300597245294271,-11.607093974773269,-0.273137780924091,0.0
-0.379271792899984,-4.749476287685441,-4.679869038194255,-12.093931371035932,-0.27938095809914354,0.0
-0.270009616464009,-5.01948590414945,-4.949878654658264,-12.42022663913624,-0.2788603280083028,0.0
-0.7862895898799791,-5.8057754940294295,-5.736168244538243,-11.276099364737492,-0.30556713126470675,0.0
-0.1424098259167857,-5.948185319946215,-5.878578070455029,-11.061461470043113,-0.2974092659973107,0.0
-0.188337199999984,-6.136522519946199,-6.066915270455013,-11.05041876170478,-0.2922153580926761,0.0
-0.40202042908800073,-6.5385429490342,-6.468935699543014,-11.414538082252648,-0.2972064976833727,0.0
-0.20006078060799207,-6.738603729642192,-6.668996480151006,-11.436206980109402,-0.2929827708540083,0.0
-0.16045245035519415,-6.899056179997387,-6.8294489305062,-11.336281529077553,-0.2874606741665577,0.0
-1.3091933737063077,-8.208249553703695,-8.138642304212508,-8.715948075252108,-0.32832998214814774,0.0
-0.19452598060801363,-8.402775534311708,-8.333168284820522,-8.707087037007584,-0.32318367439660406,0.0
-0.2134791820479774,-8.616254716359686,-8.5466474668685,-8.733188654604364,-0.3191205450503587,0.0
-0.13612027822077077,-8.752374994580457,-8.68276774508927,-8.634304983514635,-0.31258482123501624,0.0
-0.395036445935994,-9.14741144051645,-9.077804191025264,-8.851243620544262,-0.31542798070746375,0.0
-0.4791274680815889,-9.62653890859804,-9.556931659106853,-9.094550275918381,-0.32088463028660125,0.0
-0.16036797039357914,-9.78690687899162,-9.717299629500433,-9.035578282734193,-0.3157066735158586,0.0
-0.44452943897599084,-10.23143631796761,-10.161829068476424,-9.257972588389109,-0.31973238493648776,0.0
-0.13743783959359696,-10.368874157561207,-10.29926690807002,-9.16205330480016,-0.314208307804885,0.0
-0.29899636422398274,-10.66787052178519,-10.598263272294004,-9.28605662093994,-0.31376089769956433,0.0
-0.4753166448800029,-11.143187166665193,-11.073579917174007,-9.4983909271243,-0.31837677619043403,0.0
-0.18036809445598856,-11.323555261121182,-11.253948011629996,-9.472632154816862,-0.3145432016978105,0.0
-0.19277207942243596,-11.516327340543619,-11.446720091052432,-9.468462015325711,-0.3112520902849626,0.0
-0.2550451951520015,-11.77137253569562,-11.701765286204434,-9.542622334922399,-0.3097729614656741,0.0
-0.18449807815034186,-11.955870613845963,-11.886263364354777,-9.5307967451152,-0.3065607849704092,0.0
-0.2927023999999751,-12.248573013845938,-12.178965764354752,-9.640857216268953,-0.30621432534614834,0.0
-0.18279847539998362,-12.431371489245922,-12.361764239754736,-9.62928088070247,-0.3032041826645346,0.0
-0.3616917623000101,-12.793063251545933,-12.723456002054746,-9.782732322751299,-0.30459674408442683,0.0
-0.16671980601602793,-12.95978305756196,-12.890175808070774,-9.749947475757887,-0.30139030366423153,0.0
-0.18426107523358637,-13.144044132795546,-13.07443688330436,-9.743812575820606,-0.2987282757453532,0.0
-0.24502449124001652,-13.389068624035563,-13.319461374544376,-9.807863898665369,-0.2975348583119013,0.0
-0.1206289878815585,-13.50969761191712,-13.440090362425934,-9.716502151377137,-0.2936890785199373,0.0
-0.3561058193919776,-13.865803431309098,-13.796196181817912,-9.857020791711301,-0.29501709428317224,0.0
-0.48198306662398954,-14.347786497933088,-14.278179248441901,-10.0117849036426,-0.29891221870693924,0.0
-0.06553236678398695,-14.413318864717075,-14.343711615225889,-9.832500078638926,-0.29414936458606267,0.0
-0.1313937425231786,-14.544712607240253,-14.475105357749067,-9.764778261725017,-0.290894252144805,0.0
-0.36723701967997624,-14.91194962692023,-14.842342377429043,-10.067009051692974,-0.2968468475485808,0.0
-0.2716752940719893,-15.18362492099222,-15.114017671501033,-10.138607021501384,-0.29832108794794054,0.0
-0.2044388399999908,-15.38806376099221,-15.318456511501024,-10.235166907149335,-0.2876602774737646,0.0
-0.15630296427358015,-15.54436672526579,-15.474759475774604,-10.088537788622661,-0.2847279212699567,0.0
-0.387309446999965,-15.931676172265755,-15.862068922774569,-10.095229057113274,-0.2852499640022919,0.0
-0.17187847371997428,-16.103554645985728,-16.03394739649454,-9.985722424686129,-0.28304494547669123,0.0
-0.1519499344048324,-16.25550458039056,-16.185897330899373,-9.807255324418387,-0.2769169429686281,0.0
0.08939477519199229,-16.16610980519857,-16.09650255570738,-9.239309289778692,-0.2693251606517005,0.02
-0.22250786017595525,-16.388617665374525,-16.319010415883337,-9.369465434904326,-0.27159119230209955,0.02
-0.25187687644000023,-16.640494541814526,-16.570887292323338,-9.544184150609329,-0.27466404673931555,0.02
-0.18755549603998728,-16.828050037854513,-16.758442788363325,-9.614024891336534,-0.2757957056997798,0.02
-0.14657776440479608,-16.97462780225931,-16.90502055276812,-9.688094032645534,-0.27683062944291625,0.02
-0.17313446831999904,-17.14776227057931,-17.078155021088122,-9.541263127044612,-0.272093646809317,0.02
-0.32201919112799327,-17.469781461707303,-17.400174212216115,-9.540913819086057,-0.27207863043699654,0.02
-0.4573800431999732,-17.927161504907275,-17.857554255416087,-9.655657555725282,-0.2772274396888361,0.02
-0.13341596543998135,-18.060577470347255,-17.990970220856067,-9.492066279710519,-0.2738074595112359,0.02
-0.18915117062398762,-18.24972864097124,-18.180121391480053,-9.370792895030213,-0.27000504706571593,0.02
0.3970776701360031,-17.85265097083524,-17.78304372134405,-8.097578297593614,-0.2566633013337157,0.04
-0.12743566444798304,-17.98008663528322,-17.910479385792033,-8.135841780076062,-0.24348622282507576,0.04
-0.42366965088960207,-18.403756286172822,-18.334149036681634,-8.285651294799205,-0.24911141932453212,0.04
-0.8167489229087921,-19.220505209081615,-19.150897959590427,-8.160863252769888,-0.2616796537827083,0.04
-0.09635085667998594,-19.316856065761602,-19.247248816270414,-7.961278581309249,-0.255566262334548,0.04
-2.0728998312799862,-21.38975589704159,-21.3201486475504,-6.08058273305981,-0.2930230433479879,0.04
-0.16872983492158292,-21.55848573196317,-21.488878482471982,-6.085133119122812,-0.29318859103931566,0.04
1.4104893914400076,-20.147996340523164,-20.078389091031976,-4.352278538962697,-0.23879493573638932,0.06
-0.2903979999999427,-20.438394340523107,-20.36878709103192,-4.3870744660554655,-0.2407123761242279,0.06
-0.14667021435917238,-20.58506455488228,-20.51545730539109,-4.360401545263151,-0.2393761967704518,0.06
-0.37805120000000125,-20.96311575488228,-20.893508505391093,-4.446357796998012,-0.2442148152060364,0.06
-0.13813703920477083,-21.101252794087053,-21.031645544595865,-4.356514485576488,-0.23907682707141198,0.06
-0.2865528599999904,-21.387805654087042,-21.318198404595854,-4.3023941060813815,-0.23522533490977998,0.06
-0.4415904328320279,-21.829396086919072,-21.759788837427884,-4.394870621970109,-0.24084978415854896,0.06
-0.17376809128798607,-22.003164178207058,-21.93355692871587,-4.307100073413421,-0.23543455720478884,0.06
-0.2784209999999784,-22.281585178207035,-22.211977928715847,-4.361064336538322,-0.2382542204129165,0.06
-0.05686249245604147,-22.338447670663076,-22.268840421171888,-4.264417496409524,-0.23341154297755767,0.06
-0.2456443898239662,-22.58409206048704,-22.514484810995853,-4.197178853430746,-0.22881809787643692,0.06
-0.21828510622560998,-22.802377166712652,-22.732769917221464,-4.211731031135316,-0.22957643811182937,0.06
-0.13706117731601453,-22.939438344028666,-22.869831094537478,-4.189276345706728,-0.22846222006970096,0.06
-0.16774476721599726,-23.107183111244662,-23.037575861753474,-4.156469798330494,-0.22671621151098084,0.06
-0.11925957828476907,-23.22644268952943,-23.156835440038243,-4.129862656053916,-0.2254114415136694,0.06
-0.138002914347985,-23.364445603877417,-23.29483835438623,-4.072456345038156,-0.22231745180062962,0.06
-0.08747453831997717,-23.451920142197395,-23.382312892706206,-4.033086022551639,-0.22041097305902949,0.06
-0.17507942163599022,-23.626999563833383,-23.557392314342195,-3.969741229940266,-0.21667872624574908,0.06
-0.5476925252943823,-24.174692089127767,-24.10508483963658,-4.080897130684717,-0.22429818063131615,0.06
