volatility_bucket,trades,winrate,expectancy,profit_factor,avg_pnl
low volatility,2480,0.0,-0.6992524970919243,0.0,-0.6992524970919243
medium volatility,2480,0.0016129032258064516,-0.7046757159738369,0.0009018289541480635,-0.7046757159738369
high volatility,2480,0.08709677419354839,-0.9410432782569577,0.09952043141968915,-0.9410432782569577
