range_bucket,trade_count,winrate,expectancy,profit_factor
0-0.2%,5976,0.003681392235609103,-0.7314668507578808,0.0007316058965354489
0.2-0.5%,1117,0.10116383169203223,-0.8969995992191063,0.0695484022700772
0.5-1%,284,0.22887323943661972,-1.2601597638508648,0.2355804330603873
1%+,63,0.31746031746031744,-1.3404678268231738,0.4571567700003318
