time_of_day,coin,trades,expectancy,profit_factor,winrate,avg_win,avg_loss,gross_profit,gross_loss_abs
overnight_utc,0G/USDT,94,-1.0469764441507714,0.06203738689985112,0.0851063829787234,0.8136595867953336,-1.2200588656341302,6.5092766943626685,104.9250624445352
overnight_utc,AAVE/USDT,90,-1.1999841803617053,0.0020438808617263184,0.011111111111111112,0.22118830560006053,-1.215952410541051,0.22118830560006053,108.21976453815354
overnight_utc,ADA/USDT,86,-0.9651582728623589,0.004629423769806187,0.05813953488372093,0.07720921254404177,-1.0295019448010259,0.38604606272020886,83.38965752888309
overnight_utc,AIO/USDT,2,-0.5819361615887877,0.0,0.0,0.0,-0.5819361615887877,0.0,1.1638723231775754
overnight_utc,APR/USDT,1,-2.4510962030399477,0.0,0.0,0.0,-2.4510962030399477,0.0,2.4510962030399477
overnight_utc,ASTER/USDT,85,-0.904962270599121,0.0015579656893607346,0.011764705882352941,0.1200285145669906,-0.9171645418510985,0.1200285145669906,77.04182151549227
overnight_utc,AVAX/USDT,83,-1.0306717167087651,0.0,0.0,0.0,-1.0306717167087651,0.0,85.5457524868275
overnight_utc,B2/USDT,6,-1.1566784091052853,0.0,0.0,0.0,-1.1566784091052853,0.0,6.940070454631712
overnight_utc,BCH/USDT,53,-0.7365231739791189,0.0,0.0,0.0,-0.7365231739791189,0.0,39.035728220893304
overnight_utc,BERA/USDT,61,-0.8706888300292994,0.0,0.0,0.0,-0.8706888300292994,0.0,53.112018631787265
overnight_utc,BGB/USDT,43,-0.7493672447428328,0.0,0.0,0.0,-0.7493672447428328,0.0,32.22279152394181
overnight_utc,BNB/USDT,68,-1.2198456121735646,0.0,0.0,0.0,-1.2198456121735646,0.0,82.94950162780239
overnight_utc,BTC/USDT,69,-1.193627784854896,0.0,0.0,0.0,-1.193627784854896,0.0,82.36031715498783
overnight_utc,DOGE/USDT,56,-0.888269791986927,0.0,0.0,0.0,-0.888269791986927,0.0,49.743108351267914
overnight_utc,ETH/USDT,67,-1.1104237714952279,0.0,0.0,0.0,-1.1104237714952279,0.0,74.39839269018027
overnight_utc,GRASS/USDT,36,-0.5819518195938869,0.36483886688218736,0.19444444444444445,1.719129823762609,-1.1373853197144204,12.033908766338262,32.98417427171819
overnight_utc,H/USDT,71,-1.210825588648742,0.15179687572205824,0.09859154929577464,2.1978844901591708,-1.5836532535183574,15.385191431114196,101.35380822517487
overnight_utc,HBAR/USDT,110,-1.2195250507119253,0.0,0.0,0.0,-1.2195250507119253,0.0,134.14775557831177
overnight_utc,HOME/USDT,48,-1.3300897126808169,0.0628311608134873,0.0625,1.4267837706828654,-1.5138812782383957,4.280351312048596,68.12465752072781
overnight_utc,HYPE/USDT,2,-0.8485921996295128,0.0,0.0,0.0,-0.8485921996295128,0.0,1.6971843992590256
overnight_utc,KITE/USDT,75,-1.1019909934631027,0.21571813153232558,0.14666666666666667,2.0666222383544675,-1.6465963926817477,22.73284462189914,105.38216913163185
overnight_utc,LA/USDT,62,-0.9109462105457626,0.03051599914697853,0.04838709677419355,0.5925842658186978,-0.9873969127337862,1.7777527974560936,58.256417851293385
overnight_utc,LINK/USDT,77,-1.016120165144886,0.0,0.0,0.0,-1.016120165144886,0.0,78.24125271615621
overnight_utc,LPT/USDT,31,-0.8420501933091465,0.0848491242691193,0.12903225806451613,0.60505429350973,-1.0564360432082394,2.42021717403892,28.523773166622465
overnight_utc,LTC/USDT,59,-0.9795217134182324,0.0,0.0,0.0,-0.9795217134182324,0.0,57.79178109167571
overnight_utc,MON/USDT,62,-0.9297368047145839,0.002273114613473322,0.016129032258064516,0.1313292220576395,-0.9471313297436367,0.1313292220576395,57.77501111436184
overnight_utc,MOODENG/USDT,25,-1.5441040075908692,0.0,0.0,0.0,-1.5441040075908692,0.0,38.60260018977173
overnight_utc,MORPHO/USDT,68,-0.8863149816437208,0.010848251438150507,0.07352941176470588,0.13219767535183907,-0.9671493195005113,0.6609883767591954,60.93040712853221
overnight_utc,MYX/USDT,14,-0.5976681418161125,0.2737802551653817,0.14285714285714285,1.5772197915870314,-0.9601494640499699,3.154439583174063,11.521793568599639
overnight_utc,PAXG/USDT,13,-0.5486044785434608,0.0,0.0,0.0,-0.5486044785434608,0.0,7.1318582210649915
