coin,trades,expectancy,profit_factor,winrate,avg_win,avg_loss,gross_profit,gross_loss_abs
FF/USDT,11,-0.27290024412807046,0.5685510645622273,0.09090909090909091,3.9558214827198888,-0.6957724168128664,3.9558214827198888,6.957724168128664
USDC/USDT,17,-0.4160300665036272,0.0,0.0,0.0,-0.4160300665036272,0.0,7.072511130561663
ALCH/USDT,36,-0.4242674385024555,0.0,0.0,0.0,-0.4242674385024555,0.0,15.273627786088399
VELVET/USDT,12,-0.4321833423969102,0.36098896567384986,0.08333333333333333,2.9297788496159,-0.7378162689435293,2.9297788496159,8.115978958378822
GRASS/USDT,122,-0.4764904358257766,0.19126063968146284,0.10655737704918032,1.0575178094948963,-0.6594455476530128,13.747731523433652,71.8795646941784
HYPE/USDT,165,-0.5674494348881808,0.0020361409946951423,0.012121212121212121,0.09551556534360196,-0.5755839747683253,0.19103113068720393,93.82018788723703
TAO/USDT,183,-0.5799632034220137,0.05202322985664424,0.060109289617486336,0.5294908519645132,-0.6509166604525474,5.824399371609645,111.95766559783814
PEPE/USDT,226,-0.596571487833122,0.0,0.0,0.0,-0.596571487833122,0.0,134.82515625028557
BGB/USDT,116,-0.5970781388669344,0.0,0.0,0.0,-0.5970781388669344,0.0,69.26106410856438
BCH/USDT,128,-0.6357141696718401,0.0,0.0,0.0,-0.6357141696718401,0.0,81.37141371799554
LPT/USDT,139,-0.6378262911345274,0.04259861746766144,0.06474820143884892,0.43830473437770084,-0.7123276698238356,3.9447426093993077,92.60259707709862
ZEC/USDT,256,-0.6422444411323562,0.15359663297501536,0.03515625,3.3151419041366212,-0.7864407047251529,29.83627713722959,194.25085406711278
ASTER/USDT,198,-0.6464018115746475,0.0009369352525050419,0.005050505050505051,0.1200285145669906,-0.650292320844402,0.1200285145669906,128.1075872063472
MYX/USDT,48,-0.647747027958513,0.17541725115279744,0.1875,0.734923633369596,-0.9668248728803843,6.614312700326364,37.70617004233499
SONIC/USDT,62,-0.6829852308216604,0.021168851051105636,0.04838709677419355,0.30526095111414114,-0.7332350366828028,0.9157828533424235,43.260867164285365
XRP/USDT,199,-0.6954064886018445,0.0,0.0,0.0,-0.6954064886018445,0.0,138.38589123176706
LINK/USDT,237,-0.7062920919601338,0.0,0.0,0.0,-0.7062920919601338,0.0,167.3912257945517
DOGE/USDT,175,-0.7141727062607043,0.0,0.0,0.0,-0.7141727062607043,0.0,124.98022359562324
MON/USDT,103,-0.7185256351218958,0.02724971346043996,0.04854368932038835,0.41463891566509875,-0.7763401530191915,2.0731945783254937,76.08133499588077
MOODENG/USDT,152,-0.7262101039903798,0.0615102672845395,0.05921052631578947,0.8038619163784785,-0.8225083430345737,7.234757247406306,117.61869305394403
SOL/USDT,220,-0.7343836661627123,0.0,0.0,0.0,-0.7343836661627123,0.0,161.56440655579672
TRX/USDT,209,-0.7413969265465705,0.0,0.0,0.0,-0.7413969265465705,0.0,154.95195764823325
BNB/USDT,245,-0.7447447705005287,0.0,0.0,0.0,-0.7447447705005287,0.0,182.46246877262953
PAXG/USDT,25,-0.7511269959869287,0.0,0.0,0.0,-0.7511269959869287,0.0,18.778174899673218
ETH/USDT,183,-0.761939868340024,0.0030709717822669613,0.00546448087431694,0.42951998163203625,-0.7684863510321782,0.42951998163203625,139.86451588785644
XLM/USDT,259,-0.7691119491151993,0.0,0.0,0.0,-0.7691119491151993,0.0,199.19999482083662
ADA/USDT,214,-0.7756789061508731,0.003965467063657651,0.028037383177570093,0.1101449158733702,-0.8012315164015723,0.6608694952402212,166.65615541152704
LTC/USDT,221,-0.7770215660542574,0.0,0.0,0.0,-0.7770215660542574,0.0,171.7217660979909
WLD/USDT,289,-0.7779297119759421,0.0055817800666350965,0.01384083044982699,0.31548728305535856,-0.7932759154149779,1.2619491322214342,226.0836358932687
PI/USDT,124,-0.7849735374716716,0.1819650553667663,0.16129032258064516,1.0825870895813954,-1.1441198119049536,21.65174179162791,118.98846043811518
UNI/USDT,261,-0.7866641142212597,0.0,0.0,0.0,-0.7866641142212597,0.0,205.31933381174878
ZRO/USDT,81,-0.8139184536533574,0.06320810838096982,0.12345679012345678,0.4448315522002713,-0.9912071868721783,4.448315522002713,70.37571026792466
PENGU/USDT,233,-0.8140195540834938,0.001643034553472266,0.008583690987124463,0.15607078234456712,-0.8224186046153386,0.31214156468913423,189.9786976661432
SUI/USDT,247,-0.8214172972879831,0.0007413564711147592,0.004048582995951417,0.1505254611457083,-0.8253682841108843,0.1505254611457083,203.0405978912775
MORPHO/USDT,169,-0.829240681051341,0.010425070311187019,0.04142011834319527,0.21091116608164498,-0.8741855139521489,1.4763781625715149,141.61805326024813
AIO/USDT,3,-0.8335523173759812,0.0,0.0,0.0,-0.8335523173759812,0.0,2.500656952127944
AVAX/USDT,198,-0.839241048004882,0.0,0.0,0.0,-0.839241048004882,0.0,166.16972750496663
BERA/USDT,93,-0.8407806250014118,0.0318262636118419,0.043010752688172046,0.6425959894628684,-0.9074492368874469,2.5703839578514738,80.76298208298277
RECALL/USDT,17,-0.8429939002286941,0.15615544851996194,0.11764705882352941,1.325983284540768,-1.1321908581979556,2.651966569081536,16.982862872969335
0G/USDT,159,-0.8741475237945271,0.049432712942435245,0.06289308176100629,0.7227921671643769,-0.9813246842615677,7.227921671643768,146.21737795497359
BTC/USDT,197,-0.8790173063742521,0.0,0.0,0.0,-0.8790173063742521,0.0,173.16640935572767
LA/USDT,66,-0.8950641658817773,0.029214375130795577,0.045454545454545456,0.5925842658186978,-0.9659045673913237,1.7777527974560936,60.85198774565339
H/USDT,227,-0.8993572988393801,0.15034779045334035,0.1013215859030837,1.5706743213369325,-1.1778412560161216,36.12550939074945,240.27961622728878
HBAR/USDT,239,-0.9185358617024288,0.0,0.0,0.0,-0.9185358617024288,0.0,219.5300709468805
AAVE/USDT,199,-1.003491426382252,0.0011064063173690047,0.005025125628140704,0.22118830560006053,-1.00967667755388,0.22118830560006053,199.91598215566822
XAUT/USDT,96,-1.0334059856041,0.0,0.0,0.0,-1.0334059856041,0.0,99.2069746179936
B2/USDT,11,-1.1385638060646697,0.0,0.0,0.0,-1.1385638060646697,0.0,12.524201866711365
STO/USDT,19,-1.1958047371448917,0.050373433371518526,0.05263157894736842,1.2052095581632265,-1.3291944202175647,1.2052095581632265,23.925499563916166
RIVER/USDT,60,-1.25199970179875,0.12752609817571234,0.13333333333333333,1.372499250869042,-1.6557687714399487,10.979994006952335,86.09997611487734
HOME/USDT,116,-1.3060113866776744,0.14000862763630587,0.1206896551724138,1.7617229880817324,-1.7270729675270047,24.664121833144254,176.1614426877545
KITE/USDT,179,-1.3284494975411953,0.21285605054509732,0.16759776536312848,2.1434268337152673,-2.0274850004787384,64.30280501145802,302.095265071332
APR/USDT,2,-1.3928459959495763,0.0,0.0,0.0,-1.3928459959495763,0.0,2.7856919918991525
