time_of_day,trades,expectancy,profit_factor,winrate,avg_win,avg_loss,gross_profit,gross_loss_abs
afternoon_utc,1579,-0.37818185751062505,0.028117207896532985,0.023432552248258392,0.46691668764165734,-0.39845983816603,17.27591744274132,614.4250704520182
evening_utc,2499,-0.6016745902773597,0.04081598378461241,0.02040816326530612,1.254544545525573,-0.6403458222732541,63.98177182180423,1567.566572924926
overnight_utc,2577,-1.0150080943262834,0.038415370104238754,0.03414823438106325,1.1874593754748413,-1.0928775749781512,104.49642504178604,2720.1722841206183
morning_utc,791,-1.3966940937573589,0.06257931127414337,0.05562579013906448,1.676182679671865,-1.5776935288723328,73.75203790556206,1178.5370660676326
