step,trades,winrate,expectancy,profit_factor,avg_pnl
14,1,1.0,8.46463978845695,inf,8.46463978845695
15,2,1.0,6.409745230504876,inf,6.409745230504876
12,1,1.0,5.5343310911919845,inf,5.5343310911919845
13,3,1.0,2.6634385015348934,inf,2.6634385015348934
5,8,1.0,1.7113497298636038,inf,1.7113497298636038
9,1,1.0,1.2869746723246562,inf,1.2869746723246562
4,18,0.7777777777777778,1.2715263714766833,7.262990411094076,1.2715263714766833
7,6,0.6666666666666666,1.200694605191479,4.665602216868627,1.200694605191479
3,67,0.582089552238806,0.8702857795005339,8.887699385898232,0.8702857795005339
8,4,1.0,0.8083536098329382,inf,0.8083536098329382
11,3,0.6666666666666666,0.6374850798383703,3.8417953310278588,0.6374850798383703
10,3,1.0,0.5194153183642493,inf,0.5194153183642493
6,2,1.0,0.5017179315165697,inf,0.5017179315165697
18,1,1.0,0.3105721712063462,inf,0.3105721712063462
2,176,0.3125,0.03488360441060021,1.1364296675449268,0.03488360441060021
1,7150,0.011188811188811189,-0.8354601144473438,0.008049586588393276,-0.8354601144473438
