size_bucket,trade_count,winrate,expectancy,profit_factor
"(0.149, 0.174]",1490,0.040268456375838924,-0.5451763343530898,0.05227196084471087
"(0.174, 0.199]",1489,0.03425117528542646,-0.6548691770234608,0.04880165850721221
"(0.199, 0.225]",1489,0.026863666890530557,-0.7335207654641005,0.02851922334971654
"(0.225, 0.253]",1490,0.016107382550335572,-0.8535326905131587,0.02407588445548113
"(0.253, 0.358]",1488,0.03024193548387097,-1.1221812970017557,0.05716258064363498
