atr_bucket,trade_count,winrate,expectancy,profit_factor,avg_win,avg_loss,avg_duration,trades,avg_pnl
low volatility,2525,0.024950495049504952,-0.7729661126180583,0.042984779889945667,1.3914805815760087,-0.8283520353370778,,2525,-0.7729661126180583
medium volatility,2519,0.05478364430329496,-0.8222412697623553,0.0755532467005273,1.2266469471423875,-0.9409924557904338,,2519,-0.8222412697623553
high volatility,2523,0.01466508125247721,-0.7781429615383048,0.030020487629357148,1.6422153263292643,-0.8141659931759153,,2523,-0.7781429615383048
