coin,trades,expectancy,profit_factor,winrate,avg_win,avg_loss,gross_profit,gross_loss_abs
APR/USDT,4,0.7635353618146721,1.6060406909484468,0.25,8.09364043284494,-1.679832995195417,8.09364043284494,5.039498985586251
FF/USDT,11,-0.27290024412807046,0.5685510645622273,0.09090909090909091,3.9558214827198888,-0.6957724168128664,3.9558214827198888,6.957724168128664
USDC/USDT,17,-0.4160300665036272,0.0,0.0,0.0,-0.4160300665036272,0.0,7.072511130561663
ALCH/USDT,36,-0.4242674385024555,0.0,0.0,0.0,-0.4242674385024555,0.0,15.273627786088399
VELVET/USDT,12,-0.4321833423969102,0.36098896567384986,0.08333333333333333,2.9297788496159,-0.7378162689435293,2.9297788496159,8.115978958378822
GRASS/USDT,127,-0.516530788706712,0.1732605766353305,0.10236220472440945,1.0575178094948963,-0.6960275586770708,13.747731523433652,79.34714168918607
HYPE/USDT,165,-0.5674494348881808,0.0020361409946951423,0.012121212121212121,0.09551556534360196,-0.5755839747683253,0.19103113068720393,93.82018788723703
TAO/USDT,183,-0.5799632034220137,0.05202322985664424,0.060109289617486336,0.5294908519645132,-0.6509166604525474,5.824399371609645,111.95766559783814
PEPE/USDT,226,-0.596571487833122,0.0,0.0,0.0,-0.596571487833122,0.0,134.82515625028557
BCH/USDT,135,-0.6321291620657417,0.0015850013619431182,0.007407407407407408,0.1354746812320135,-0.6378575489560234,0.1354746812320135,85.47291156010714
LPT/USDT,140,-0.6366014117011662,0.04238516737062145,0.06428571428571428,0.43830473437770084,-0.710449925553913,3.9447426093993077,93.0689402475626
BGB/USDT,133,-0.6413146999457111,0.0,0.0,0.0,-0.6413146999457111,0.0,85.29485509277957
ZEC/USDT,256,-0.6422444411323562,0.15359663297501536,0.03515625,3.3151419041366212,-0.7864407047251529,29.83627713722959,194.25085406711278
ASTER/USDT,206,-0.6760460286854156,0.0008611261974223686,0.0048543689320388345,0.1200285145669906,-0.6799293191403053,0.1200285145669906,139.38551042376258
SONIC/USDT,62,-0.6829852308216604,0.021168851051105636,0.04838709677419355,0.30526095111414114,-0.7332350366828028,0.9157828533424235,43.260867164285365
LINK/USDT,237,-0.7062920919601338,0.0,0.0,0.0,-0.7062920919601338,0.0,167.3912257945517
MYX/USDT,49,-0.7130240868450679,0.15917968405343336,0.1836734693877551,0.734923633369596,-1.0388123238933673,6.614312700326364,41.55249295573469
XRP/USDT,204,-0.7139908822103862,0.0,0.0,0.0,-0.7139908822103862,0.0,145.65413997091878
MON/USDT,103,-0.7185256351218958,0.02724971346043996,0.04854368932038835,0.41463891566509875,-0.7763401530191915,2.0731945783254937,76.08133499588077
MOODENG/USDT,152,-0.7262101039903798,0.0615102672845395,0.05921052631578947,0.8038619163784785,-0.8225083430345737,7.234757247406306,117.61869305394403
TRX/USDT,209,-0.7413969265465705,0.0,0.0,0.0,-0.7413969265465705,0.0,154.95195764823325
