coin,hour_of_day,expectancy,profit_factor,winrate,trade_count
SUI/USDT,1,-0.8679859219632814,0.0,0.0,25
SUI/USDT,3,-0.8753163904905173,0.0,0.0,20
LA/USDT,2,-0.8759801217279836,0.0,0.0,3
XRP/USDT,9,-0.8770288272376623,0.0,0.0,14
MON/USDT,0,-0.878354004849265,0.0,0.0,14
TRX/USDT,2,-0.8816574056360816,0.0,0.0,22
LINK/USDT,2,-0.882400020412258,0.0,0.0,13
PEPE/USDT,3,-0.8847061827717895,0.0,0.0,21
ZEC/USDT,20,-0.8857362227365,0.0,0.0,19
LPT/USDT,5,-0.8868394292592037,0.0532203023304368,0.18181818181818182,11
LINK/USDT,6,-0.8940482591563139,0.0,0.0,11
BGB/USDT,11,-0.8943174954159613,0.0,0.0,3
SONIC/USDT,9,-0.8946030138679291,0.0,0.0,3
MYX/USDT,16,-0.8964909003000047,0.0,0.0,2
UNI/USDT,23,-0.8996705346799679,0.0,0.0,6
ADA/USDT,23,-0.9004758690839392,0.0,0.0,10
HBAR/USDT,22,-0.9038016897143523,0.0,0.0,14
XAUT/USDT,3,-0.9045040536598757,0.0,0.0,8
XLM/USDT,2,-0.9070912554568444,0.0,0.0,12
ETH/USDT,6,-0.9142948923555037,0.0,0.0,9
BGB/USDT,5,-0.9144833004406739,0.0,0.0,22
PEPE/USDT,4,-0.9191654270932139,0.0,0.0,21
AAVE/USDT,23,-0.923168444426613,0.0,0.0,9
XAUT/USDT,9,-0.9247742867999305,0.0,0.0,2
0G/USDT,2,-0.9278962058431984,0.16157957535578318,0.05555555555555555,18
LINK/USDT,3,-0.9290583919623009,0.0,0.0,17
MORPHO/USDT,4,-0.9300940345623481,0.0,0.0,20
XAUT/USDT,5,-0.9316249005079499,0.0,0.0,20
LTC/USDT,4,-0.9320553253968448,0.0,0.0,26
ADA/USDT,3,-0.935585229358898,0.0009042233299256339,0.043478260869565216,23
BTC/USDT,2,-0.9362966045595753,0.0,0.0,2
MON/USDT,2,-0.9364707776392568,0.0,0.0,9
SOL/USDT,3,-0.9454745865304872,0.0,0.0,19
KITE/USDT,3,-0.9456923477404796,0.0,0.0,12
ADA/USDT,1,-0.951440528635349,0.0,0.0,7
MOODENG/USDT,21,-0.953092688930387,0.0,0.0,2
BGB/USDT,12,-0.9536313212833774,0.0,0.0,14
HYPE/USDT,10,-0.9570228394140633,0.0,0.0,12
0G/USDT,4,-0.9584046090755798,0.15908004000754095,0.2727272727272727,11
BNB/USDT,1,-0.9585661814839084,0.0,0.0,4
ASTER/USDT,3,-0.9601181296192114,0.0,0.0,22
BCH/USDT,4,-0.9750711801899442,0.0,0.0,12
ADA/USDT,10,-0.97583988788475,0.0,0.0,10
ETH/USDT,4,-0.9799497913596235,0.0,0.0,24
WLD/USDT,22,-0.9815050196955845,0.0,0.0,22
MORPHO/USDT,7,-0.9870920511750892,0.0,0.0,10
SUI/USDT,2,-0.9872729899311004,0.0,0.0,26
LTC/USDT,3,-0.9877333831699525,0.0,0.0,16
HBAR/USDT,10,-0.9913473555402488,0.0,0.0,5
AVAX/USDT,23,-0.9914614387631492,0.0,0.0,10
ETH/USDT,3,-0.9927542212195705,0.0,0.0,22
STO/USDT,14,-0.9930016930039613,0.0,0.0,1
AAVE/USDT,2,-0.993267375557608,0.012929897057340229,0.058823529411764705,17
DOGE/USDT,10,-0.9972434809510657,0.0,0.0,10
RECALL/USDT,19,-0.998414752339131,0.0,0.0,1
XLM/USDT,10,-0.9988415624811847,0.0,0.0,17
BERA/USDT,12,-1.000356343204847,0.0,0.0,2
STO/USDT,6,-1.0056074083148636,0.0,0.0,5
BERA/USDT,10,-1.0085216029210566,0.0,0.0,5
KITE/USDT,1,-1.014982698517836,0.0,0.0,3
0G/USDT,1,-1.017214921213759,0.01151554295088042,0.045454545454545456,22
TRX/USDT,22,-1.0194185557866604,0.0,0.0,12
MYX/USDT,1,-1.0207801208419616,0.0,0.0,4
ZRO/USDT,6,-1.0211020150692909,0.0,0.0,3
H/USDT,4,-1.0215212436295429,0.07033590966061673,0.043478260869565216,23
RECALL/USDT,6,-1.025972564166329,0.0,0.0,1
TAO/USDT,4,-1.0260428812451636,0.0,0.0,2
LA/USDT,4,-1.0260744027339643,0.02037351295023035,0.05,20
HBAR/USDT,1,-1.0305895045998268,0.0,0.0,20
SOL/USDT,2,-1.0337539177439312,0.0,0.0,4
ADA/USDT,4,-1.035361140838455,0.013569104619627384,0.13636363636363635,22
ZRO/USDT,4,-1.0367513349167277,0.0,0.0,5
MYX/USDT,0,-1.0379751350047688,0.0,0.0,5
ZRO/USDT,11,-1.0386496073128106,0.10579976241495131,0.3333333333333333,18
XLM/USDT,6,-1.0389613474188468,0.0,0.0,5
XLM/USDT,3,-1.0435013923031846,0.0,0.0,23
ADA/USDT,5,-1.0455330426631384,0.005066630597952748,0.1,10
UNI/USDT,3,-1.0466882343999537,0.0,0.0,20
LINK/USDT,10,-1.049923526016022,0.0,0.0,5
LTC/USDT,12,-1.0542764476799764,0.0,0.0,2
MON/USDT,3,-1.0544301771579352,0.0,0.0,14
ZEC/USDT,4,-1.0574736840522334,0.018465529411619303,0.3333333333333333,3
ETH/USDT,10,-1.0621858294570599,0.0,0.0,7
AVAX/USDT,12,-1.0645155898559875,0.0,0.0,1
LA/USDT,14,-1.0648811618680138,0.0,0.0,2
BTC/USDT,4,-1.0692524530588687,0.0,0.0,24
BERA/USDT,4,-1.0693564028659848,0.0,0.0,19
AVAX/USDT,4,-1.0729308325359346,0.0,0.0,24
ADA/USDT,2,-1.076945932391264,0.0,0.0,11
BNB/USDT,10,-1.0786604289279622,0.0,0.0,5
LINK/USDT,4,-1.0853877480999576,0.0,0.0,24
XLM/USDT,9,-1.0906749796264286,0.0,0.0,7
AVAX/USDT,3,-1.0908850675348605,0.0,0.0,22
SOL/USDT,4,-1.0925296047786104,0.0,0.0,24
MORPHO/USDT,6,-1.0984528651667589,0.0018443146302514395,0.058823529411764705,17
HYPE/USDT,9,-1.0996389906563635,0.0,0.0,4
UNI/USDT,4,-1.1009223501799321,0.0,0.0,24
AAVE/USDT,0,-1.1032557179999607,0.0,0.0,4
SUI/USDT,9,-1.1087859626842462,0.0,0.0,13
XRP/USDT,4,-1.1113575635494661,0.0,0.0,23
HBAR/USDT,3,-1.114606005202504,0.0,0.0,23
BGB/USDT,6,-1.1153648385679715,0.0,0.0,7
HYPE/USDT,6,-1.1242749684590472,0.0,0.0,13
BERA/USDT,5,-1.1243565118284229,0.0,0.0,8
UNI/USDT,2,-1.1350005136938328,0.0,0.0,23
AAVE/USDT,1,-1.1355528237288128,0.0,0.0,18
LTC/USDT,9,-1.1380525801243737,0.0,0.0,9
HOME/USDT,0,-1.1404025760859058,0.16769821618235714,0.2222222222222222,9
PENGU/USDT,2,-1.1417206145815961,0.005099361065731383,0.25,4
WLD/USDT,2,-1.1426407743539349,0.0,0.0,4
WLD/USDT,6,-1.1444219542450667,0.0,0.0,14
HBAR/USDT,2,-1.1490935514296996,0.0,0.0,22
BNB/USDT,3,-1.1494223442806355,0.0,0.0,22
PAXG/USDT,10,-1.1495380402141597,0.0,0.0,4
BNB/USDT,4,-1.1526325960693649,0.0,0.0,25
ASTER/USDT,4,-1.1528795155393083,0.0,0.0,12
H/USDT,22,-1.1538577168701738,0.0,0.0,9
B2/USDT,5,-1.1566784091052853,0.0,0.0,6
PAXG/USDT,8,-1.1606264560320039,0.0,0.0,2
AVAX/USDT,11,-1.1648870074559197,0.0,0.0,1
AVAX/USDT,2,-1.1651988138192644,0.0,0.0,12
XAUT/USDT,4,-1.1692840479199198,0.0,0.0,14
DOGE/USDT,6,-1.1747228991310792,0.0,0.0,15
ZRO/USDT,21,-1.1750655003999828,0.0,0.0,3
PEPE/USDT,6,-1.1806373044341087,0.0,0.0,8
BTC/USDT,3,-1.1877548500921342,0.0,0.0,23
WLD/USDT,23,-1.199569295967406,0.0,0.0,15
UNI/USDT,6,-1.2054836159349178,0.0,0.0,16
AAVE/USDT,3,-1.2068084016041254,0.0,0.0,19
PENGU/USDT,23,-1.207425010816753,0.0,0.0,8
TAO/USDT,5,-1.2099787649906497,0.0,0.0,3
B2/USDT,10,-1.218858257759907,0.0,0.0,2
BTC/USDT,10,-1.2193319256869302,0.0,0.0,13
WLD/USDT,4,-1.2244045192291515,0.030544644585412496,0.043478260869565216,23
AVAX/USDT,10,-1.2257745730708605,0.0,0.0,15
HOME/USDT,3,-1.2269889073797309,0.0,0.0,13
SOL/USDT,10,-1.2272889322285525,0.0,0.0,7
AAVE/USDT,4,-1.2351710715832447,0.0,0.0,24
XLM/USDT,1,-1.2416679730842632,0.0,0.0,11
PEPE/USDT,5,-1.2437876818298614,0.0,0.0,8
ETH/USDT,2,-1.2451781758139508,0.0,0.0,4
XLM/USDT,4,-1.2508652715338753,0.0,0.0,23
BNB/USDT,2,-1.2526513925686587,0.0,0.0,11
PI/USDT,23,-1.2595963633384164,0.029645588416103562,0.13333333333333333,15
BCH/USDT,6,-1.269647381375994,0.0,0.0,2
HOME/USDT,12,-1.2759647656567796,0.0,0.0,1
ZEC/USDT,23,-1.279818087221504,0.0,0.0,21
MORPHO/USDT,1,-1.299380186687936,0.0,0.0,1
SUI/USDT,10,-1.3010012917746947,0.006052600916231414,0.05263157894736842,19
SUI/USDT,4,-1.3075854384765946,0.0,0.0,21
DOGE/USDT,5,-1.309280396592002,0.0,0.0,9
XRP/USDT,10,-1.3244835531001553,0.0,0.0,13
WLD/USDT,3,-1.3285380300701282,0.0,0.0,18
RIVER/USDT,5,-1.3287344635910556,0.08842230418390437,0.1111111111111111,9
WLD/USDT,7,-1.3340616712185591,0.0,0.0,3
PI/USDT,21,-1.3342238873599566,0.0,0.0,2
AIO/USDT,19,-1.3367846289503682,0.0,0.0,1
BCH/USDT,10,-1.3502843660319244,0.0,0.0,3
