,trigger_strength,pnl_net
count,7567.0,7567.0
mean,0.4301805832838903,-0.7910955312347183
std,0.08344342518338754,1.152845424125683
min,0.3000419047696724,-26.548978488267036
25%,0.35859955784485625,-0.9960671090752842
50%,0.4243891166738252,-0.6020828193600227
75%,0.49119227092275897,-0.3377279101743593
max,0.7163800199570998,18.883969783670434
