,entry_delay_ms,pnl_net
count,7567.0,7567.0
mean,0.0,-0.7910955312347183
std,0.0,1.152845424125683
min,0.0,-26.548978488267036
25%,0.0,-0.9960671090752842
50%,0.0,-0.6020828193600227
75%,0.0,-0.3377279101743593
max,0.0,18.883969783670434
