dec_mode,trade_count,winrate,expectancy,profit_factor,avg_win,avg_loss,avg_duration,trades,avg_pnl
DRIFT,4569,0.02385642372510396,-0.7569274806459027,0.04735400169647721,1.5771538876007374,-0.8139711732779393,,4569,-0.7569274806459027
PREBREAK,1703,0.02701115678214915,-0.771180599860109,0.019387176647608577,0.5644557627547754,-0.8082592194619707,,1703,-0.771180599860109
CONT,1278,0.0649452269170579,-0.9345106702055528,0.09118394900736032,1.4437082359508528,-1.0996924017628595,,1278,-0.9345106702055528
MOMENTUM,17,0.0,-1.1878251586777844,0.0,,-1.1878251586777844,,17,-1.1878251586777844
