instId,trade_count,winrate,expectancy,profit_factor,avg_win,avg_loss,avg_duration,trades,avg_pnl
APR/USDT,4,0.25,0.7635353618146721,1.6060406909484468,8.09364043284494,-1.679832995195417,,4,0.7635353618146721
FF/USDT,11,0.09090909090909091,-0.27290024412807046,0.5685510645622273,3.9558214827198888,-0.6957724168128664,,11,-0.27290024412807046
USDC/USDT,17,0.0,-0.4160300665036272,0.0,,-0.4160300665036272,,17,-0.4160300665036272
ALCH/USDT,36,0.0,-0.4242674385024555,0.0,,-0.4242674385024555,,36,-0.4242674385024555
VELVET/USDT,12,0.08333333333333333,-0.4321833423969102,0.36098896567384986,2.9297788496159,-0.7378162689435293,,12,-0.4321833423969102
GRASS/USDT,127,0.10236220472440945,-0.516530788706712,0.1732605766353305,1.0575178094948963,-0.6960275586770708,,127,-0.516530788706712
HYPE/USDT,165,0.012121212121212121,-0.5674494348881808,0.0020361409946951423,0.09551556534360196,-0.5755839747683253,,165,-0.5674494348881808
TAO/USDT,183,0.060109289617486336,-0.5799632034220137,0.05202322985664424,0.5294908519645132,-0.6509166604525474,,183,-0.5799632034220137
PEPE/USDT,226,0.0,-0.596571487833122,0.0,,-0.596571487833122,,226,-0.596571487833122
BCH/USDT,135,0.007407407407407408,-0.6321291620657417,0.0015850013619431182,0.1354746812320135,-0.6378575489560234,,135,-0.6321291620657417
LPT/USDT,140,0.06428571428571428,-0.6366014117011662,0.04238516737062145,0.43830473437770084,-0.710449925553913,,140,-0.6366014117011662
BGB/USDT,133,0.0,-0.6413146999457111,0.0,,-0.6413146999457111,,133,-0.6413146999457111
ZEC/USDT,256,0.03515625,-0.6422444411323562,0.15359663297501536,3.3151419041366212,-0.7864407047251529,,256,-0.6422444411323562
ASTER/USDT,206,0.0048543689320388345,-0.6760460286854156,0.0008611261974223686,0.1200285145669906,-0.6799293191403053,,206,-0.6760460286854156
SONIC/USDT,62,0.04838709677419355,-0.6829852308216604,0.021168851051105636,0.30526095111414114,-0.7332350366828028,,62,-0.6829852308216604
LINK/USDT,237,0.0,-0.7062920919601338,0.0,,-0.7062920919601338,,237,-0.7062920919601338
MYX/USDT,49,0.1836734693877551,-0.7130240868450679,0.15917968405343336,0.734923633369596,-1.0388123238933673,,49,-0.7130240868450679
XRP/USDT,204,0.0,-0.7139908822103862,0.0,,-0.7139908822103862,,204,-0.7139908822103862
MON/USDT,103,0.04854368932038835,-0.7185256351218958,0.02724971346043996,0.41463891566509875,-0.7763401530191915,,103,-0.7185256351218958
MOODENG/USDT,152,0.05921052631578947,-0.7262101039903798,0.0615102672845395,0.8038619163784785,-0.8225083430345737,,152,-0.7262101039903798
TRX/USDT,209,0.0,-0.7413969265465705,0.0,,-0.7413969265465705,,209,-0.7413969265465705
BNB/USDT,245,0.0,-0.7447447705005287,0.0,,-0.7447447705005287,,245,-0.7447447705005287
PAXG/USDT,25,0.0,-0.7511269959869287,0.0,,-0.7511269959869287,,25,-0.7511269959869287
SOL/USDT,222,0.0,-0.7544911388914798,0.0,,-0.7544911388914798,,222,-0.7544911388914798
XLM/USDT,259,0.0,-0.7691119491151993,0.0,,-0.7691119491151993,,259,-0.7691119491151993
ADA/USDT,214,0.028037383177570093,-0.7756789061508731,0.003965467063657651,0.1101449158733702,-0.8012315164015723,,214,-0.7756789061508731
WLD/USDT,289,0.01384083044982699,-0.7779297119759421,0.0055817800666350965,0.31548728305535856,-0.7932759154149779,,289,-0.7779297119759421
