leverage_bucket,volatility_bucket,expectancy,profit_factor,winrate,trade_count
,V1: -0.001..0.000983,-0.6931352008089446,0.0,0.0,3781
,V2: 0.000983..0.0338,-0.8888386634183955,0.08639059900423661,0.06296296296296296,3780
,,-0.9442571454931489,0.0,0.0,6
