symbol,trade_count,winrate,expectancy,profit_factor,avg_win,avg_loss,avg_duration,trades,avg_pnl,avg_duration_s
KITE/USDT,179,0.16759776536312848,-1.3284494975411953,0.21285605054509732,2.1434268337152673,-2.0274850004787384,,179,-1.3284494975411953,
RIVER/USDT,70,0.15714285714285714,-1.2743288206310344,0.2090593711889792,2.1434463376130988,-1.911541138269771,,70,-1.2743288206310344,
HOME/USDT,121,0.1322314049586777,-1.1973634082901994,0.2195790163514973,2.5477292124115714,-1.768044188587612,,121,-1.1973634082901994,
STO/USDT,19,0.05263157894736842,-1.1958047371448917,0.050373433371518526,1.2052095581632265,-1.3291944202175647,,19,-1.1958047371448917,
B2/USDT,11,0.0,-1.1385638060646697,0.0,,-1.1385638060646697,,11,-1.1385638060646697,
XAUT/USDT,96,0.0,-1.0334059856041,0.0,,-1.0334059856041,,96,-1.0334059856041,
AAVE/USDT,199,0.005025125628140704,-1.003491426382252,0.0011064063173690047,0.22118830560006053,-1.00967667755388,,199,-1.003491426382252,
ZRO/USDT,104,0.16346153846153846,-0.9834183352677269,0.16331718823296604,1.1743397625679155,-1.405049227948255,,104,-0.9834183352677269,
HBAR/USDT,239,0.0,-0.9185358617024288,0.0,,-0.9185358617024288,,239,-0.9185358617024288,
LA/USDT,66,0.045454545454545456,-0.8950641658817773,0.029214375130795577,0.5925842658186978,-0.9659045673913237,,66,-0.8950641658817773,
