regime_type,regime,date,expectancy,profit_factor,winrate,trade_count
date,2026-03-07,2026-03-07,-0.5151382918372729,0.0372401468682014,0.02157920549288867,4078
date,2026-03-08,2026-03-08,-1.1136388451535437,0.057362640640555324,0.04299226139294927,3489
