volatility_bucket,trade_count,winrate,expectancy,profit_factor,avg_win,avg_loss,avg_duration,trades,avg_pnl
low volatility,2521,0.0,-0.7004668977601259,0.0,,-0.7004668977601259,,2521,-0.7004668977601259
medium volatility,2519,0.001984914648670107,-0.7121855806269782,0.0009539019472610732,0.3425859492960551,-0.714283376032553,,2519,-0.7121855806269782
high volatility,2521,0.09242364141213805,-0.960206987357207,0.11546493735857205,1.3561785093246375,-1.1960976432693002,,2521,-0.960206987357207
