coin,hour,volatility_bucket,expectancy,profit_factor,trade_count
HYPE/USDT,14,"(0.000463, 0.000792]",-0.14667021435917238,0.0,1
MYX/USDT,0,"(0.0012, 0.00201]",-0.14855765487197503,0.0,2
H/USDT,17,"(0.0012, 0.00201]",-0.14943170186878107,0.0,2
BCH/USDT,12,"(0.0012, 0.00201]",-0.15090032663198563,0.3098155110627615,2
TRX/USDT,18,"(0.000792, 0.0012]",-0.15274596478718178,0.0,1
MOODENG/USDT,14,"(0.0012, 0.00201]",-0.15318331403515795,0.0,1
GRASS/USDT,0,"(0.000792, 0.0012]",-0.1536591373199718,0.0,1
LTC/USDT,2,"(0.00201, 0.0338]",-0.15563266271994702,0.0,1
GRASS/USDT,15,"(0.000792, 0.0012]",-0.15590540657597937,0.0,3
ADA/USDT,15,"(0.00201, 0.0338]",-0.15613058193065874,0.3697763992713377,3
TAO/USDT,13,"(0.0012, 0.00201]",-0.15861286552023252,0.0,3
LPT/USDT,15,"(0.000792, 0.0012]",-0.15953916851197927,0.0,1
HYPE/USDT,13,"(0.000463, 0.000792]",-0.1618162496156675,0.0,5
BCH/USDT,15,"(0.000463, 0.000792]",-0.16984879313598844,0.0,2
MOODENG/USDT,14,"(0.000792, 0.0012]",-0.17236443091677592,0.0,2
BGB/USDT,14,"(-0.001, 0.000463]",-0.1732971615706654,0.0,3
MYX/USDT,14,"(0.0012, 0.00201]",-0.17376809128798607,0.0,1
RECALL/USDT,0,"(0.00201, 0.0338]",-0.17393591920953,0.7969062971706108,2
0G/USDT,15,"(0.000792, 0.0012]",-0.17558720889998541,0.0,2
SONIC/USDT,17,"(0.000792, 0.0012]",-0.1770636271139744,0.0,2
TAO/USDT,13,"(0.000792, 0.0012]",-0.17809943578118215,0.0,4
MORPHO/USDT,16,"(-0.001, 0.000463]",-0.17851899471999091,0.0,1
BGB/USDT,15,"(0.000792, 0.0012]",-0.1786142560106531,0.0,3
XRP/USDT,17,"(0.000792, 0.0012]",-0.17904779659198886,0.0,1
TAO/USDT,21,"(0.0012, 0.00201]",-0.1794189347961,0.0,7
HYPE/USDT,13,"(-0.001, 0.000463]",-0.18036809445598856,0.0,1
SOL/USDT,15,"(0.000463, 0.000792]",-0.18357449244959365,0.0,5
UNI/USDT,15,"(0.000792, 0.0012]",-0.1837199711999806,0.0,1
MOODENG/USDT,16,"(0.000792, 0.0012]",-0.1853578714240084,0.0,1
MOODENG/USDT,16,"(0.000463, 0.000792]",-0.1864213296167678,0.0,1
HOME/USDT,21,"(0.0012, 0.00201]",-0.18753019677334648,0.3385735635795538,5
TRX/USDT,20,"(0.000463, 0.000792]",-0.18784023090000648,0.0,1
LA/USDT,13,"(0.00201, 0.0338]",-0.18915117062398762,0.0,1
RIVER/USDT,21,"(0.00201, 0.0338]",-0.18928455102450154,0.7182401432058387,15
BCH/USDT,14,"(-0.001, 0.000463]",-0.19042849613599713,0.0,1
ADA/USDT,15,"(0.000792, 0.0012]",-0.19107494072399286,0.0,6
MORPHO/USDT,15,"(0.000463, 0.000792]",-0.19120859870398504,0.0,1
SONIC/USDT,9,"(0.000792, 0.0012]",-0.19213520607596823,0.0,1
ADA/USDT,10,"(0.000792, 0.0012]",-0.1942325321758171,0.0,1
XRP/USDT,13,"(0.000792, 0.0012]",-0.19452598060801363,0.0,1
LTC/USDT,15,"(0.0012, 0.00201]",-0.1946383241333217,0.0,3
WLD/USDT,14,"(0.000792, 0.0012]",-0.1979103818079877,0.0,4
ALCH/USDT,17,"(0.000792, 0.0012]",-0.1991353079807712,0.0,3
HYPE/USDT,14,"(0.000792, 0.0012]",-0.19919603772358602,0.0,2
