,pnl_net,mfe_ratio,mae_ratio,profit_capture_ratio
count,7567.0,7561.0,7561.0,5187.0
mean,-0.7910955312347183,0.3041278539645991,-0.3573243072621607,-23553337.284759905
std,1.152845424125683,0.4671950674224362,0.4412499876179599,339739395.4696177
min,-26.548978488267036,0.0,-5.258332765991852,-14964184113.544182
25%,-0.9960671090752842,0.0,-0.5982475094328729,-4093.3777628388543
50%,-0.6020828193600227,0.23451888320198827,-0.19227929505137645,-346.5848061866706
75%,-0.3377279101743593,0.3967102776639334,0.0,-8.94208051618785
max,18.883969783670434,17.204981734485344,0.0,61522.74282550142
