regime_type,regime,coin,expectancy,profit_factor,winrate,trade_count
coin,APR/USDT,APR/USDT,0.7635353618146721,1.6060406909484468,0.25,4
coin,FF/USDT,FF/USDT,-0.27290024412807046,0.5685510645622273,0.09090909090909091,11
coin,USDC/USDT,USDC/USDT,-0.4160300665036272,0.0,0.0,17
coin,ALCH/USDT,ALCH/USDT,-0.4242674385024555,0.0,0.0,36
coin,VELVET/USDT,VELVET/USDT,-0.4321833423969102,0.36098896567384986,0.08333333333333333,12
coin,GRASS/USDT,GRASS/USDT,-0.516530788706712,0.1732605766353305,0.10236220472440945,127
coin,HYPE/USDT,HYPE/USDT,-0.5674494348881808,0.0020361409946951423,0.012121212121212121,165
coin,TAO/USDT,TAO/USDT,-0.5799632034220137,0.05202322985664424,0.060109289617486336,183
coin,PEPE/USDT,PEPE/USDT,-0.596571487833122,0.0,0.0,226
coin,BCH/USDT,BCH/USDT,-0.6321291620657417,0.0015850013619431182,0.007407407407407408,135
coin,LPT/USDT,LPT/USDT,-0.6366014117011662,0.04238516737062145,0.06428571428571428,140
coin,BGB/USDT,BGB/USDT,-0.6413146999457111,0.0,0.0,133
coin,ZEC/USDT,ZEC/USDT,-0.6422444411323562,0.15359663297501536,0.03515625,256
coin,ASTER/USDT,ASTER/USDT,-0.6760460286854156,0.0008611261974223686,0.0048543689320388345,206
coin,SONIC/USDT,SONIC/USDT,-0.6829852308216604,0.021168851051105636,0.04838709677419355,62
coin,LINK/USDT,LINK/USDT,-0.7062920919601338,0.0,0.0,237
coin,MYX/USDT,MYX/USDT,-0.7130240868450679,0.15917968405343336,0.1836734693877551,49
coin,XRP/USDT,XRP/USDT,-0.7139908822103862,0.0,0.0,204
coin,MON/USDT,MON/USDT,-0.7185256351218958,0.02724971346043996,0.04854368932038835,103
coin,MOODENG/USDT,MOODENG/USDT,-0.7262101039903798,0.0615102672845395,0.05921052631578947,152
coin,TRX/USDT,TRX/USDT,-0.7413969265465705,0.0,0.0,209
coin,BNB/USDT,BNB/USDT,-0.7447447705005287,0.0,0.0,245
coin,PAXG/USDT,PAXG/USDT,-0.7511269959869287,0.0,0.0,25
coin,SOL/USDT,SOL/USDT,-0.7544911388914798,0.0,0.0,222
coin,XLM/USDT,XLM/USDT,-0.7691119491151993,0.0,0.0,259
coin,ADA/USDT,ADA/USDT,-0.7756789061508731,0.003965467063657651,0.028037383177570093,214
coin,WLD/USDT,WLD/USDT,-0.7779297119759421,0.0055817800666350965,0.01384083044982699,289
coin,LTC/USDT,LTC/USDT,-0.7795081569208558,0.0,0.0,223
coin,PI/USDT,PI/USDT,-0.7849735374716716,0.1819650553667663,0.16129032258064516,124
coin,UNI/USDT,UNI/USDT,-0.7866641142212597,0.0,0.0,261
coin,PENGU/USDT,PENGU/USDT,-0.8140195540834938,0.001643034553472266,0.008583690987124463,233
coin,ETH/USDT,ETH/USDT,-0.8199590818964979,0.006159333987833281,0.010416666666666666,192
coin,SUI/USDT,SUI/USDT,-0.8214172972879831,0.0007413564711147592,0.004048582995951417,247
coin,MORPHO/USDT,MORPHO/USDT,-0.829240681051341,0.010425070311187019,0.04142011834319527,169
coin,AIO/USDT,AIO/USDT,-0.8335523173759812,0.0,0.0,3
coin,AVAX/USDT,AVAX/USDT,-0.8403730808785055,0.0,0.0,199
coin,RECALL/USDT,RECALL/USDT,-0.8429939002286941,0.15615544851996194,0.11764705882352941,17
coin,BERA/USDT,BERA/USDT,-0.8441401138056946,0.031056902002906336,0.042105263157894736,95
coin,DOGE/USDT,DOGE/USDT,-0.8777487567643472,0.0,0.0,184
coin,BTC/USDT,BTC/USDT,-0.8790173063742521,0.0,0.0,197
coin,0G/USDT,0G/USDT,-0.8845566502740968,0.04830157159150593,0.062111801242236024,161
coin,H/USDT,H/USDT,-0.893775055952936,0.16327201408249742,0.10970464135021098,237
coin,LA/USDT,LA/USDT,-0.8950641658817773,0.029214375130795577,0.045454545454545456,66
coin,HBAR/USDT,HBAR/USDT,-0.9185358617024288,0.0,0.0,239
coin,ZRO/USDT,ZRO/USDT,-0.9834183352677269,0.16331718823296604,0.16346153846153846,104
coin,AAVE/USDT,AAVE/USDT,-1.003491426382252,0.0011064063173690047,0.005025125628140704,199
coin,XAUT/USDT,XAUT/USDT,-1.0334059856041,0.0,0.0,96
coin,B2/USDT,B2/USDT,-1.1385638060646697,0.0,0.0,11
coin,STO/USDT,STO/USDT,-1.1958047371448917,0.050373433371518526,0.05263157894736842,19
coin,HOME/USDT,HOME/USDT,-1.1973634082901994,0.2195790163514973,0.1322314049586777,121
coin,RIVER/USDT,RIVER/USDT,-1.2743288206310344,0.2090593711889792,0.15714285714285714,70
coin,KITE/USDT,KITE/USDT,-1.3284494975411953,0.21285605054509732,0.16759776536312848,179
