volatility_bucket,trades,winrate,expectancy,profit_factor,avg_pnl
medium volatility,685,0.0,-0.36698798606293315,0.0,-0.36698798606293315
low volatility,686,0.0,-0.3957696472948352,0.0,-0.3957696472948352
high volatility,686,0.06559766763848396,-0.4291860827296012,0.06418774940433279,-0.4291860827296012
