uid,side,entry,mfe_price,mae_price,pnl_net,entry_efficiency
BERA-buy-133205-80a9,buy,0.5413,0.0007000000000000339,0.0,-0.06960724949118643,773.2857142856768
TAO-buy-133217-06da,buy,184.19,0.12999999999999545,-0.28999999999999204,-0.19796327410399925,439.2380952381083
TAO-buy-133426-ad6d,buy,183.99,0.0,-0.5200000000000102,-0.7374793637087877,354.82692307691616
WLD-sell-133205-0d24,sell,0.3848,0.00019999999999997797,-0.00020000000000003348,-0.30292077446397697,-961.4999999999725
MOODENG-sell-133205-59ed,sell,0.04878,0.0,-8.000000000000368e-05,-0.3612073103832042,-609.7499999999719
ASTER-sell-133217-eed7,sell,0.6949,0.0,0.0,-0.28212940000000875,
MYX-sell-133240-c34b,sell,0.2934,9.999999999998899e-05,-0.0014000000000000123,-0.45835005980798704,-195.53333333333316
HYPE-buy-133217-1083,buy,30.849,0.012000000000000455,-0.05000000000000071,-0.29019434065438954,498.3709677419261
BERA-buy-133402-d63e,buy,0.543,0.0004999999999999449,0.0,-0.10920627765600127,1086.0000000001196
HYPE-buy-133607-70ee,buy,30.823,0.03200000000000003,0.0,-0.09823415457920066,963.2187499999992
TAO-buy-133623-66c9,buy,183.51,0.21000000000000796,-0.030000000000001137,-0.13097254801677652,764.749999999971
0G-sell-133517-5a36,sell,0.6004,0.0006000000000000449,0.0,-0.09483157724797439,-999.6666666665918
WLD-sell-133517-d56e,sell,0.3846,0.0,-0.00019999999999997797,-0.40998359999995804,-1923.0000000002117
ASTER-sell-133517-9e2c,sell,0.6949,0.0,-0.000200000000000089,-0.32277000974401826,-3474.499999998454
ASTER-sell-133824-ff76,sell,0.6951,0.00040000000000006697,0.0,-0.19993958060799516,-1736.7499999997092
WLD-sell-133829-fe87,sell,0.3846,0.00019999999999997797,0.0,-0.3044149743199922,-1922.0000000002117
HYPE-buy-133815-2bfc,buy,30.877,0.0,-0.04400000000000048,-0.379271792899984,702.7499999999923
MYX-sell-133807-bcaa,sell,0.2935,9.999999999998899e-05,-0.00030000000000002247,-0.270009616464009,-733.499999999979
WLD-sell-134029-61c5,sell,0.3845,0.0,-0.0006999999999999784,-0.7862895898799791,-549.2857142857313
HYPE-buy-134016-84dd,buy,30.833,0.018000000000000682,-0.0030000000000001137,-0.1424098259167857,1468.3809523808966
0G-sell-133846-71db,sell,0.5998,0.0,0.0,-0.188337199999984,
ASTER-sell-134023-46d8,sell,0.6948,0.0,-0.0006000000000000449,-0.40202042908800073,-1157.9999999999131
ASTER-sell-134318-d83a,sell,0.6954,0.00040000000000006697,0.0,-0.20006078060799207,-1737.499999999709
TAO-buy-134359-868f,buy,183.84,0.1599999999999966,0.0,-0.16045245035519415,1149.0000000000246
XLM-sell-134211-fb7d,sell,0.15117,0.0,-0.00037999999999999146,-1.3091933737063077,-397.81578947369314
XRP-sell-134211-2f5b,sell,1.3634,0.0007999999999999119,-0.00029999999999996696,-0.19452598060801363,-1238.7272727274092
WLD-sell-134236-4388,sell,0.3855,0.00020000000000003348,-9.999999999998899e-05,-0.2134791820479774,-1284.333333333237
XLM-sell-134433-e956,sell,0.15155,0.00017000000000000348,0.0,-0.13612027822077077,-890.4705882352758
HYPE-buy-134211-21cc,buy,30.883,0.010000000000001563,-0.05799999999999983,-0.395036445935994,455.0147058823436
MOODENG-sell-134304-3b18,sell,0.04867,0.0,-7.000000000000062e-05,-0.4791274680815889,-695.2857142857081
TAO-buy-134600-55fc,buy,183.92,0.160000000000025,-0.19999999999998863,-0.16036797039357914,511.444444444425
ASTER-sell-134523-21dc,sell,0.6945,0.0,-0.0004999999999999449,-0.44452943897599084,-1389.000000000153
BERA-buy-134626-0c40,buy,0.5446,0.0006000000000000449,0.0,-0.13743783959359696,907.6666666665986
MYX-sell-134304-2fdd,sell,0.2944,0.0007999999999999674,-0.0005000000000000004,-0.29899636422398274,-225.84615384615947
WLD-sell-134530-9371,sell,0.3852,0.0,-0.0005000000000000004,-0.4753166448800029,-770.3999999999993
HYPE-buy-134459-016e,buy,30.825,0.007999999999999119,-0.003999999999997783,-0.18036809445598856,2569.0833333339965
MOODENG-sell-134604-450c,sell,0.04874,2.9999999999995308e-05,-3.0000000000002247e-05,-0.19277207942243596,-811.8333333333665
XRP-sell-134530-ab79,sell,1.3627,0.00019999999999997797,-0.0007999999999999119,-0.2550451951520015,-1362.50000000015
TAO-buy-134808-9f91,buy,183.88,0.20000000000001705,-0.09999999999999432,-0.18449807815034186,613.2666666666433
0G-sell-134554-277d,sell,0.5998,0.0,0.0,-0.2927023999999751,
ASTER-sell-134726-9bcb,sell,0.6961,0.000500000000000056,0.0,-0.18279847539998362,-1391.1999999998443
XLM-sell-134630-21da,sell,0.15141,0.0,-6.0000000000004494e-05,-0.3616917623000101,-2523.499999999811
BERA-buy-134903-5219,buy,0.5441,0.0004999999999999449,0.0,-0.16671980601602793,1088.2000000001199
HYPE-buy-134808-20b2,buy,30.831,0.006000000000000227,-0.012999999999998124,-0.18426107523358637,1623.3684210527722
WLD-sell-134808-6100,sell,0.3857,9.999999999998899e-05,0.0,-0.24502449124001652,-3856.0000000004247
TAO-buy-135000-6011,buy,184.02,0.4199999999999875,0.0,-0.1206289878815585,438.14285714287024
XRP-sell-134834-b423,sell,1.3625,0.0,-0.0007999999999999119,-0.3561058193919776,-1703.1250000001876
MYX-sell-134843-c8db,sell,0.2941,0.0,-0.0005000000000000004,-0.48198306662398954,-588.1999999999995
MYX-sell-135144-54d2,sell,0.2949,0.00040000000000001146,0.0,-0.06553236678398695,-736.2499999999789
HYPE-buy-135114-daa5,buy,30.837,0.022000000000002018,0.0,-0.1313937425231786,1401.6818181816896
ASTER-sell-134924-9662,sell,0.6955,0.0,-0.00039999999999995595,-0.36723701967997624,-1738.7500000001914
0G-sell-134936-d3d6,sell,0.6,9.999999999998899e-05,0.0,-0.2716752940719893,-5999.00000000066
HYPE-buy-135312-d68a,buy,30.859,0.022999999999999687,0.0,-0.2044388399999908,1341.6956521739314
TAO-buy-135240-02d6,buy,184.41,0.18000000000000682,-0.03999999999999204,-0.15630296427358015,838.4090909090952
XRP-sell-135138-1636,sell,1.3633,0.00039999999999995595,-0.00039999999999995595,-0.387309446999965,-1703.6250000001876
WLD-sell-135114-ca8c,sell,0.3856,0.00030000000000002247,-9.999999999998899e-05,-0.17187847371997428,-963.2499999999724
TAO-buy-135436-3794,buy,184.5,0.3199999999999932,-0.4399999999999977,-0.1519499344048324,243.34210526316082
MYX-sell-135342-ec48,sell,0.2951,0.0008999999999999564,0.0,0.08939477519199229,-326.8888888889048
TAO-buy-135637-2eb4,buy,184.64,0.160000000000025,0.0,-0.22250786017595525,1153.9999999998195
WLD-sell-135436-caf5,sell,0.3853,0.00029999999999996696,0.0,-0.25187687644000023,-1283.3333333334747
HYPE-buy-135511-8603,buy,30.915,0.009000000000000341,-0.02699999999999747,-0.18755549603998728,859.5000000000522
HYPE-buy-135815-05ff,buy,30.92,0.01899999999999835,-0.004000000000001336,-0.14657776440479608,1344.5217391304532
TAO-buy-135845-785a,buy,184.85,0.1599999999999966,0.0,-0.17313446831999904,1155.3125000000246
FF-sell-135702-2e13,sell,0.07409,0.0,-0.00010000000000000286,-0.32201919112799327,-740.8999999999788
WLD-sell-135728-c02e,sell,0.385,0.0,-0.0005000000000000004,-0.4573800431999732,-769.9999999999993
WLD-sell-140000-5d56,sell,0.3855,0.00040000000000001146,0.0,-0.13341596543998135,-962.7499999999724
LA-buy-135845-5dd8,buy,0.2316,0.0012000000000000066,0.0,-0.18915117062398762,192.99999999999895
MYX-sell-135759-4359,sell,0.2942,0.0018000000000000238,0.0,0.3970776701360031,-162.4444444444423
FF-sell-135934-3b7d,sell,0.07419,5.000000000000837e-05,0.0,-0.12743566444798304,-1482.7999999997517
HYPE-buy-140017-c547,buy,30.971,0.009000000000000341,-0.05000000000000071,-0.42366965088960207,525.7796610169398
TAO-buy-140049-a296,buy,184.71,0.009999999999990905,-0.5300000000000011,-0.8167489229087921,343.0370370370421
