,trigger_strength,pnl_net
count,2059.0,2059.0
mean,0.4291987802745013,-0.39753491696182136
std,0.07336316100381556,0.3252526154794675
min,0.3000419047696724,-3.287724431417562
25%,0.3695902502018718,-0.5072142061579595
50%,0.42999424229840333,-0.3432729618017636
75%,0.4870242104185548,-0.2253415648999688
max,0.6642835481754774,1.8627998565624415
