,pnl_net,mfe_ratio,mae_ratio,profit_capture_ratio
count,2059.0,2057.0,2057.0,1399.0
mean,-0.39753491696182136,0.2834135955385043,-0.34621189209466685,-30171431.213319942
std,0.3252526154794675,0.38828018673829634,0.4487428944104639,233479899.4327757
min,-3.287724431417562,0.0,-5.258332765991852,-6390617558.090176
25%,-0.5072142061579595,0.0,-0.5613162529228998,-3340.624548600356
50%,-0.3432729618017636,0.21221517856122613,-0.1858503855292411,-287.25079164800496
75%,-0.2253415648999688,0.37229596443993146,0.0,-8.330730278333505
max,1.8627998565624415,4.433668514574418,0.0,6418.298968712766
