uid,entry,mfe_price,mae_price,mfe_pct,mae_pct
BERA-buy-133205-80a9,0.5413,0.0007000000000000339,0.0,-0.9987068169222242,-1.0
TAO-buy-133217-06da,184.19,0.12999999999999545,-0.28999999999999204,-0.9992942070687877,-1.0015744611542428
TAO-buy-133426-ad6d,183.99,0.0,-0.5200000000000102,-1.0,-1.002826240556552
WLD-sell-133205-0d24,0.3848,0.00019999999999997797,-0.00020000000000003348,-0.9994802494802495,-1.0005197505197505
MOODENG-sell-133205-59ed,0.04878,0.0,-8.000000000000368e-05,-1.0,-1.001640016400164
ASTER-sell-133217-eed7,0.6949,0.0,0.0,-1.0,-1.0
MYX-sell-133240-c34b,0.2934,9.999999999998899e-05,-0.0014000000000000123,-0.9996591683708248,-1.0047716428084528
HYPE-buy-133217-1083,30.849,0.012000000000000455,-0.05000000000000071,-0.9996110084605659,-1.001620798080975
BERA-buy-133402-d63e,0.543,0.0004999999999999449,0.0,-0.9990791896869246,-1.0
HYPE-buy-133607-70ee,30.823,0.03200000000000003,0.0,-0.9989618142296337,-1.0
TAO-buy-133623-66c9,183.51,0.21000000000000796,-0.030000000000001137,-0.9988556481935589,-1.0001634788294915
0G-sell-133517-5a36,0.6004,0.0006000000000000449,0.0,-0.9990006662225183,-1.0
WLD-sell-133517-d56e,0.3846,0.0,-0.00019999999999997797,-1.0,-1.000520020800832
ASTER-sell-133517-9e2c,0.6949,0.0,-0.000200000000000089,-1.0,-1.0002878111958557
ASTER-sell-133824-ff76,0.6951,0.00040000000000006697,0.0,-0.9994245432311897,-1.0
WLD-sell-133829-fe87,0.3846,0.00019999999999997797,0.0,-0.999479979199168,-1.0
HYPE-buy-133815-2bfc,30.877,0.0,-0.04400000000000048,-1.0,-1.0014250089063057
MYX-sell-133807-bcaa,0.2935,9.999999999998899e-05,-0.00030000000000002247,-0.9996592844974447,-1.001022146507666
WLD-sell-134029-61c5,0.3845,0.0,-0.0006999999999999784,-1.0,-1.0018205461638492
HYPE-buy-134016-84dd,30.833,0.018000000000000682,-0.0030000000000001137,-0.9994162099049719,-1.0000972983491714
0G-sell-133846-71db,0.5998,0.0,0.0,-1.0,-1.0
ASTER-sell-134023-46d8,0.6948,0.0,-0.0006000000000000449,-1.0,-1.0008635578583767
ASTER-sell-134318-d83a,0.6954,0.00040000000000006697,0.0,-0.9994247914869139,-1.0
TAO-buy-134359-868f,183.84,0.1599999999999966,0.0,-0.999129677980853,-1.0
XLM-sell-134211-fb7d,0.15117,0.0,-0.00037999999999999146,-1.0,-1.0025137262684394
XRP-sell-134211-2f5b,1.3634,0.0007999999999999119,-0.00029999999999996696,-0.9994132316268154,-1.0002200381399442
WLD-sell-134236-4388,0.3855,0.00020000000000003348,-9.999999999998899e-05,-0.9994811932555122,-1.0002594033722438
XLM-sell-134433-e956,0.15155,0.00017000000000000348,0.0,-0.9988782580006599,-1.0
HYPE-buy-134211-21cc,30.883,0.010000000000001563,-0.05799999999999983,-0.9996761972606287,-1.0018780558883529
MOODENG-sell-134304-3b18,0.04867,0.0,-7.000000000000062e-05,-1.0,-1.0014382576535854
TAO-buy-134600-55fc,183.92,0.160000000000025,-0.19999999999998863,-0.9991300565463244,-1.0010874293170944
ASTER-sell-134523-21dc,0.6945,0.0,-0.0004999999999999449,-1.0,-1.0007199424046076
BERA-buy-134626-0c40,0.5446,0.0006000000000000449,0.0,-0.9988982739625413,-1.0
MYX-sell-134304-2fdd,0.2944,0.0007999999999999674,-0.0005000000000000004,-0.9972826086956523,-1.0016983695652173
WLD-sell-134530-9371,0.3852,0.0,-0.0005000000000000004,-1.0,-1.0012980269989615
HYPE-buy-134459-016e,30.825,0.007999999999999119,-0.003999999999997783,-0.9997404703974048,-1.0001297648012977
MOODENG-sell-134604-450c,0.04874,2.9999999999995308e-05,-3.0000000000002247e-05,-0.9993844891259747,-1.0006155108740256
XRP-sell-134530-ab79,1.3627,0.00019999999999997797,-0.0007999999999999119,-0.9998532325530197,-1.000587069787921
TAO-buy-134808-9f91,183.88,0.20000000000001705,-0.09999999999999432,-0.9989123341309549,-1.0005438329345224
0G-sell-134554-277d,0.5998,0.0,0.0,-1.0,-1.0
ASTER-sell-134726-9bcb,0.6961,0.000500000000000056,0.0,-0.999281712397644,-1.0
XLM-sell-134630-21da,0.15141,0.0,-6.0000000000004494e-05,-1.0,-1.0003962750148603
BERA-buy-134903-5219,0.5441,0.0004999999999999449,0.0,-0.9990810512773388,-1.0
HYPE-buy-134808-20b2,30.831,0.006000000000000227,-0.012999999999998124,-0.9998053906782135,-1.0004216535305375
WLD-sell-134808-6100,0.3857,9.999999999998899e-05,0.0,-0.9997407311381903,-1.0
TAO-buy-135000-6011,184.02,0.4199999999999875,0.0,-0.9977176393870232,-1.0
XRP-sell-134834-b423,1.3625,0.0,-0.0007999999999999119,-1.0,-1.0005871559633026
MYX-sell-134843-c8db,0.2941,0.0,-0.0005000000000000004,-1.0,-1.0017001020061205
MYX-sell-135144-54d2,0.2949,0.00040000000000001146,0.0,-0.9986436080027128,-1.0
HYPE-buy-135114-daa5,30.837,0.022000000000002018,0.0,-0.999286571326653,-1.0
ASTER-sell-134924-9662,0.6955,0.0,-0.00039999999999995595,-1.0,-1.0005751258087705
0G-sell-134936-d3d6,0.6,9.999999999998899e-05,0.0,-0.9998333333333334,-1.0
HYPE-buy-135312-d68a,30.859,0.022999999999999687,0.0,-0.9992546744871836,-1.0
TAO-buy-135240-02d6,184.41,0.18000000000000682,-0.03999999999999204,-0.9990239141044411,-1.0002169079767909
XRP-sell-135138-1636,1.3633,0.00039999999999995595,-0.00039999999999995595,-0.999706594293259,-1.000293405706741
WLD-sell-135114-ca8c,0.3856,0.00030000000000002247,-9.999999999998899e-05,-0.9992219917012447,-1.000259336099585
TAO-buy-135436-3794,184.5,0.3199999999999932,-0.4399999999999977,-0.9982655826558265,-1.0023848238482385
MYX-sell-135342-ec48,0.2951,0.0008999999999999564,0.0,-0.9969501863774993,-1.0
TAO-buy-135637-2eb4,184.64,0.160000000000025,0.0,-0.9991334488734834,-1.0
WLD-sell-135436-caf5,0.3853,0.00029999999999996696,0.0,-0.9992213859330393,-1.0
HYPE-buy-135511-8603,30.915,0.009000000000000341,-0.02699999999999747,-0.9997088791848617,-1.0008733624454147
HYPE-buy-135815-05ff,30.92,0.01899999999999835,-0.004000000000001336,-0.999385510996119,-1.0001293661060802
TAO-buy-135845-785a,184.85,0.1599999999999966,0.0,-0.9991344333243171,-1.0
FF-sell-135702-2e13,0.07409,0.0,-0.00010000000000000286,-1.0,-1.0013497098123905
WLD-sell-135728-c02e,0.385,0.0,-0.0005000000000000004,-1.0,-1.0012987012987014
WLD-sell-140000-5d56,0.3855,0.00040000000000001146,0.0,-0.9989623865110246,-1.0
LA-buy-135845-5dd8,0.2316,0.0012000000000000066,0.0,-0.9948186528497409,-1.0
MYX-sell-135759-4359,0.2942,0.0018000000000000238,0.0,-0.9938817131203262,-1.0
FF-sell-135934-3b7d,0.07419,5.000000000000837e-05,0.0,-0.9993260547243563,-1.0
HYPE-buy-140017-c547,30.971,0.009000000000000341,-0.05000000000000071,-0.9997094055729553,-1.0016144134835814
TAO-buy-140049-a296,184.71,0.009999999999990905,-0.5300000000000011,-0.9999458610795301,-1.0028693627849061
WLD-sell-140155-5556,0.3837,0.0005000000000000004,-9.999999999998899e-05,-0.9986968986187126,-1.0002606202762574
LA-buy-140049-4292,0.2318,9.999999999998899e-05,-0.002700000000000008,-0.9995685936151856,-1.0116479723899914
SUI-sell-140233-b965,0.8975,0.00039999999999995595,0.0,-0.9995543175487466,-1.0
MYX-sell-140058-89f1,0.2924,0.0049000000000000155,-0.00040000000000001146,-0.9832421340629275,-1.0013679890560876
XRP-sell-140233-1a0d,1.3575,0.0007999999999999119,0.0,-0.9994106813996317,-1.0
HYPE-buy-140225-b6fc,30.866,0.02400000000000091,0.0,-0.999222445409188,-1.0
TAO-buy-140243-aa09,183.25,0.28000000000000114,-0.09000000000000341,-0.9984720327421556,-1.0004911323328787
BERA-buy-140130-a8f6,0.5435,0.0006000000000000449,-0.0007000000000000339,-0.9988960441582336,-1.0012879484820607
MOODENG-sell-140321-9492,0.04832,3.0000000000002247e-05,0.0,-0.9993791390728476,-1.0
LPT-sell-140233-5742,2.227,0.0,-0.002000000000000224,-1.0,-1.0008980691513247
MYX-sell-140321-b3c8,0.2898,0.0005000000000000004,0.0,-0.9982746721877157,-1.0
WLD-sell-140355-28f7,0.3836,0.00019999999999997797,0.0,-0.9994786235662149,-1.0
LA-buy-140243-0fcf,0.2286,0.0019000000000000128,-0.00020000000000000573,-0.9916885389326333,-1.0008748906386702
XRP-sell-140424-fb6e,1.3589,0.00039999999999995595,0.0,-0.9997056442711016,-1.0
FF-sell-140142-2c8c,0.07414,0.0,-2.0000000000006124e-05,-1.0,-1.000269759913677
SUI-sell-140424-023d,0.8986,0.0004999999999999449,0.0,-0.9994435789005119,-1.0
LPT-sell-140424-c323,2.229,0.002000000000000224,0.0,-0.9991027366532076,-1.0
XLM-sell-140233-def9,0.15074,0.000130000000000019,-0.00011999999999998123,-0.9991375878996948,-1.0007960727079739
MOODENG-sell-140540-a3c4,0.04825,5.000000000000143e-05,0.0,-0.9989637305699481,-1.0
0G-sell-140355-bc01,0.5986,0.0010000000000000009,-0.00029999999999996696,-0.998329435349148,-1.0005011693952555
XLM-sell-140500-12f9,0.15061,3.999999999998449e-05,-4.000000000001225e-05,-0.9997344133855655,-1.0002655866144348
HYPE-buy-140424-de5c,30.931,0.010999999999999233,-0.06099999999999994,-0.9996443697261647,-1.0019721315185413
TAO-buy-140442-8ce6,182.98,0.0800000000000125,-0.6599999999999966,-0.9995627937479505,-1.0036069515794075
BERA-buy-140500-da9e,0.5447,0.0,-0.0021999999999999797,-1.0,-1.0040389205067008
WLD-sell-140602-d1c0,0.3828,0.00019999999999997797,0.0,-0.9994775339602926,-1.0
DOGE-sell-140657-6161,0.0896,3.0000000000002247e-05,0.0,-0.9996651785714286,-1.0
SUI-sell-140633-f3c1,0.8953,0.0004999999999999449,-0.00019999999999997797,-0.9994415279794483,-1.0002233888082206
ADA-sell-140657-5df1,0.2528,0.0001000000000000445,-9.999999999998899e-05,-0.9996044303797467,-1.0003955696202531
BERA-buy-140700-86b0,0.5427,0.0006000000000000449,0.0,-0.9988944168048645,-1.0
HYPE-buy-140627-3759,30.882,0.013999999999999346,0.0,-0.9995466614856551,-1.0
