pnl,rolling_profit_factor,rolling_expectancy,edge_decay
-0.06960724949118643,0.0,,
-0.19796327410399925,0.0,,
-0.7374793637087877,0.0,,
-0.30292077446397697,0.0,,
-0.3612073103832042,0.0,,-0.3338355944302309
-0.28212940000000875,0.0,,-0.32521789535852724
-0.45835005980798704,0.0,,-0.34423677599416436
-0.29019434065438954,0.0,,-0.3374814715766925
-0.10920627765600127,0.0,,-0.31211756114106015
-0.09823415457920066,0.0,,-0.2907292204848742
-0.13097254801677652,0.0,,-0.27620588662413803
-0.09483157724797439,0.0,,-0.26109136084279105
-0.40998359999995804,0.0,,-0.272544610008727
-0.32277000974401826,0.0,,-0.2761321385612478
-0.19993958060799516,0.0,,-0.27105263469769764
-0.3044149743199922,0.0,-0.273137780924091,-0.273137780924091
-0.379271792899984,0.0,-0.27938095809914354,-0.27938095809914354
-0.270009616464009,0.0,-0.2788603280083028,-0.2788603280083028
-0.7862895898799791,0.0,-0.30556713126470675,-0.30556713126470675
-0.1424098259167857,0.0,-0.2974092659973107,-0.2974092659973107
-0.188337199999984,0.0,-0.2922153580926761,-0.2922153580926761
-0.40202042908800073,0.0,-0.2972064976833727,-0.2972064976833727
-0.20006078060799207,0.0,-0.2929827708540083,-0.2929827708540083
-0.16045245035519415,0.0,-0.2874606741665577,-0.2874606741665577
-1.3091933737063077,0.0,-0.32832998214814774,-0.32832998214814774
-0.19452598060801363,0.0,-0.32318367439660406,-0.32318367439660406
-0.2134791820479774,0.0,-0.3191205450503587,-0.3191205450503587
-0.13612027822077077,0.0,-0.31258482123501624,-0.31258482123501624
-0.395036445935994,0.0,-0.31542798070746375,-0.31542798070746375
-0.4791274680815889,0.0,-0.32088463028660125,-0.32088463028660125
-0.16036797039357914,0.0,-0.3157066735158586,-0.3157066735158586
-0.44452943897599084,0.0,-0.31973238493648776,-0.31973238493648776
-0.13743783959359696,0.0,-0.314208307804885,-0.314208307804885
-0.29899636422398274,0.0,-0.31376089769956433,-0.31376089769956433
-0.4753166448800029,0.0,-0.31837677619043403,-0.31837677619043403
-0.18036809445598856,0.0,-0.3145432016978105,-0.3145432016978105
-0.19277207942243596,0.0,-0.3112520902849626,-0.3112520902849626
-0.2550451951520015,0.0,-0.3097729614656741,-0.3097729614656741
-0.18449807815034186,0.0,-0.3065607849704092,-0.3065607849704092
