atr_bucket,trades,winrate,expectancy,profit_factor,avg_pnl
low,687,0.017467248908296942,-0.3858772564651339,0.014946807289906595,-0.3858772564651339
medium,685,0.040875912408759124,-0.3667619733043299,0.048466484935564186,-0.3667619733043299
high,687,0.00727802037845706,-0.43987593467158237,0.0110465046824431,-0.43987593467158237
