,entry_delay_ms,pnl_net
count,2059.0,2059.0
mean,0.0,-0.39753491696182136
std,0.0,0.3252526154794675
min,0.0,-3.287724431417562
25%,0.0,-0.5072142061579595
50%,0.0,-0.3432729618017636
75%,0.0,-0.2253415648999688
max,0.0,1.8627998565624415
