pyramide_bucket,trades,winrate,expectancy,profit_factor,avg_pnl
0,1977,0.0070814365199797676,-0.4176592300366901,0.004623649107684132,-0.4176592300366901
1,50,0.3,-0.0019354471242979487,0.9836759580952001,-0.0019354471242979487
2,22,0.36363636363636365,0.02190376571223359,1.1767569676156031,0.02190376571223359
3,5,0.8,0.5732211539452954,8.657290641928238,0.5732211539452954
4,4,0.75,0.757455865639302,22.29064719131247,0.757455865639302
5+,1,1.0,0.9068640364084096,inf,0.9068640364084096
