range_bucket,trade_count,winrate,expectancy,profit_factor
0-0.2%,1699,0.0005885815185403178,-0.38865467018700645,0.0001389927197097227
0.2-0.5%,292,0.08904109589041095,-0.44996037520415344,0.04628908863454314
0.5-1%,59,0.2542372881355932,-0.367942775370704,0.32332267765915906
1%+,7,0.42857142857142855,-0.5550090422377546,0.46325221122026367
