step,trades,winrate,expectancy,profit_factor,avg_pnl
8,1,1.0,0.9068640364084096,inf,0.9068640364084096
5,4,1.0,0.8750297429369569,inf,0.8750297429369569
6,2,1.0,0.5017179315165697,inf,0.5017179315165697
4,4,0.75,0.4847349199762051,6.18020821946687,0.4847349199762051
2,50,0.3,-0.00022817656871800373,0.9980755021293606,-0.00022817656871800373
3,20,0.3,-0.0003869122175261072,0.9971615743985086,-0.0003869122175261072
7,1,0.0,-0.14230772016143836,0.0,-0.14230772016143836
1,1977,0.0070814365199797676,-0.4176592300366901,0.004623649107684132,-0.4176592300366901
