uid,instId_trigger,side_trigger,entry_reason,score_of,score_mo,score_br,score_force,momentum_ok,prebreak_ok,pullback_ok,compression_ok,dec_mode,trigger_type,rsi,adx,macdhist,bb_width,pos_in_range,regime,pattern,ts,instId_trade,side_trade,entry,pnl_net,mfe_price,mae_price,ts_open
BNB-sell-190956-94b5,BNB/USDT,sell,DEC:DRIFT,0.5462107907015231,0.5462107907015231,0.3,1.0,,,,,DRIFT,,,,,,,,,1772910596547,BNB/USDT,sell,621.7,-0.718539396847973,0.22000000000002728,0.0,1772910596547
HYPE-sell-191010-d85d,HYPE/USDT,sell,DEC:DRIFT,0.3570469768088579,0.3570469768088579,0.3,0.8570469768088579,,,,,DRIFT,,,,,,,,,1772910610900,HYPE/USDT,sell,30.444,-0.35453816245680525,0.054999999999999716,0.0,1772910610900
