volatility_bucket,trades,expectancy,profit_factor,winrate,avg_win,avg_loss,gross_profit,gross_loss_abs
V3: 0.000738..0.00321,411,-0.33771111689076466,0.07255166972772263,0.0535279805352798,0.4935398063942775,-0.38472273723079276,10.857875740674105,149.65714478277837
V2: 0.000132..0.000738,410,-0.3835822404671703,0.008737888726430873,0.012195121951219513,0.2772619971191441,-0.39174081130156924,1.3863099855957206,158.65502857713554
V1: -0.001..0.000132,414,-0.3981195777793141,0.020687499204380656,0.021739130434782608,0.3868637726219855,-0.41556365223267633,3.4817739535978696,168.3032791542339
V4: 0.00321..0.141,412,-0.4006250969213232,0.006578730865849444,0.009708737864077669,0.27326502017002363,-0.40723186277516,1.0930600806800945,166.15060001226527
V5: 0.141..76.43,412,-0.4674207797537009,0.017225997460203802,0.012135922330097087,0.6750966401958249,-0.4814566202936214,3.375483200979125,195.95284445950392
