dec_mode,trades,winrate,expectancy,profit_factor,avg_pnl
PREBREAK,374,0.03208556149732621,-0.3906765982001438,0.021826596027868624,-0.3906765982001438
DRIFT,1368,0.01608187134502924,-0.39393538928506927,0.015895000719590418,-0.39393538928506927
CONT,304,0.03618421052631579,-0.40043666237961206,0.06332558023718382,-0.40043666237961206
MOMENTUM,13,0.0,-0.9057683378584307,0.0,-0.9057683378584307
