size_bucket,trade_count,winrate,expectancy,profit_factor
"(0.149, 0.179]",413,0.03631961259079903,-0.2441083833960322,0.06778031757787338
"(0.179, 0.203]",413,0.024213075060532687,-0.3526932193280935,0.023468277413590647
"(0.203, 0.223]",410,0.024390243902439025,-0.38790672192675707,0.025368970525369874
"(0.223, 0.25]",411,0.012165450121654502,-0.4345864444457412,0.01921556135301927
"(0.25, 0.332]",412,0.012135922330097087,-0.5689042413644567,0.0073036644286196325
