time_of_day,coin,trades,expectancy,profit_factor,winrate,avg_win,avg_loss,gross_profit,gross_loss_abs
afternoon_utc,0G/USDT,38,-0.35681589619829684,0.018703336110152215,0.02631578947368421,0.25843215360004546,-0.3734442218685223,0.25843215360004546,13.817436209135325
afternoon_utc,ADA/USDT,59,-0.3008120812356473,0.015248707470530547,0.01694915254237288,0.2748234325200123,-0.31073683147281383,0.2748234325200123,18.022736225423202
afternoon_utc,ALCH/USDT,14,-0.35636717156540526,0.0,0.0,0.0,-0.35636717156540526,0.0,4.989140401915674
afternoon_utc,ASTER/USDT,47,-0.3657046957684936,0.0,0.0,0.0,-0.3657046957684936,0.0,17.1881207011192
afternoon_utc,AVAX/USDT,7,-0.38834613091426184,0.0,0.0,0.0,-0.38834613091426184,0.0,2.718422916399833
afternoon_utc,BCH/USDT,10,-0.26690999148478917,0.0,0.0,0.0,-0.26690999148478917,0.0,2.6690999148478918
afternoon_utc,BERA/USDT,20,-0.26753818825641773,0.3244964047816709,0.2,0.6425959894628684,-0.4950717326862394,2.5703839578514738,7.92114772297983
afternoon_utc,BGB/USDT,25,-0.23992909770111248,0.0,0.0,0.0,-0.23992909770111248,0.0,5.998227442527812
afternoon_utc,BNB/USDT,71,-0.40489041454420954,0.0,0.0,0.0,-0.40489041454420954,0.0,28.74721943263888
afternoon_utc,DOGE/USDT,53,-0.3151519628170415,0.0,0.0,0.0,-0.3151519628170415,0.0,16.7030540293032
afternoon_utc,ETH/USDT,23,-0.38343790806259664,0.0,0.0,0.0,-0.38343790806259664,0.0,8.819071885439723
afternoon_utc,FF/USDT,5,-0.3253886827659083,0.0,0.0,0.0,-0.3253886827659083,0.0,1.6269434138295416
afternoon_utc,GRASS/USDT,32,-0.2712830155512334,0.02000074132128416,0.0625,0.08858555956401108,-0.2952742538922498,0.17717111912802216,8.858227616767495
afternoon_utc,H/USDT,41,-0.33043103754800573,0.14479177480937566,0.14634146341463414,0.3822834201359972,-0.45261065886526347,2.293700520815983,15.841373060284221
afternoon_utc,HBAR/USDT,47,-0.4415289256108767,0.0,0.0,0.0,-0.4415289256108767,0.0,20.751859503711206
afternoon_utc,HYPE/USDT,28,-0.28011772510372934,0.0,0.0,0.0,-0.28011772510372934,0.0,7.843296302904422
afternoon_utc,KITE/USDT,34,-0.41025480689184196,0.19307250765421508,0.11764705882352941,0.834369708937639,-0.5762047423357728,3.337478835750556,17.286142270073185
afternoon_utc,LA/USDT,3,-0.7729711647866718,0.0,0.0,0.0,-0.7729711647866718,0.0,2.3189134943600154
afternoon_utc,LINK/USDT,35,-0.3764483409828369,0.0,0.0,0.0,-0.3764483409828369,0.0,13.175691934399293
afternoon_utc,LPT/USDT,69,-0.4371774227908118,0.010242800886462448,0.043478260869565216,0.10405803549336619,-0.46177903453100166,0.3121741064800986,30.47741627904611
afternoon_utc,LTC/USDT,31,-0.3175742067045042,0.0,0.0,0.0,-0.3175742067045042,0.0,9.84480040783963
afternoon_utc,MON/USDT,10,-0.254999142408753,0.1139646136199804,0.1,0.32798778902918124,-0.31977546812407903,0.32798778902918124,2.8779792131167112
afternoon_utc,MOODENG/USDT,56,-0.31219423819051556,0.09287913272089615,0.08928571428571429,0.35801061209228313,-0.37790059606137805,1.7900530604614155,19.27293039913028
afternoon_utc,MORPHO/USDT,41,-0.36667374316661727,0.049377818323332004,0.024390243902439025,0.7808859741999961,-0.39536273610078265,0.7808859741999961,15.814509444031305
afternoon_utc,MYX/USDT,13,-0.21057521095568618,0.4093184956569795,0.23076923076923078,0.632320612256001,-0.46344395791919235,1.896961836768003,4.634439579191923
afternoon_utc,PENGU/USDT,64,-0.3787894964726532,0.0,0.0,0.0,-0.3787894964726532,0.0,24.242527774249805
afternoon_utc,PEPE/USDT,92,-0.4446999301202904,0.0,0.0,0.0,-0.4446999301202904,0.0,40.912393571066715
afternoon_utc,SOL/USDT,69,-0.4022179429503525,0.0,0.0,0.0,-0.4022179429503525,0.0,27.753038063574323
afternoon_utc,SONIC/USDT,36,-0.45684857292379394,0.0,0.0,0.0,-0.45684857292379394,0.0,16.446548625256582
afternoon_utc,STO/USDT,1,-0.9930016930039613,0.0,0.0,0.0,-0.9930016930039613,0.0,0.9930016930039613
afternoon_utc,SUI/USDT,38,-0.33947733227321336,0.0,0.0,0.0,-0.33947733227321336,0.0,12.900138626382107
afternoon_utc,TAO/USDT,92,-0.39904685771562515,0.07428369700987943,0.043478260869565216,0.7364908048367722,-0.4506622060134614,2.945963219347089,39.658274129184605
afternoon_utc,TRX/USDT,45,-0.3381278289282875,0.0,0.0,0.0,-0.3381278289282875,0.0,15.215752301772937
afternoon_utc,UNI/USDT,42,-0.39141270537903333,0.0,0.0,0.0,-0.39141270537903333,0.0,16.4393336259194
afternoon_utc,WLD/USDT,87,-0.4169725107148608,0.008470374405736307,0.022988505747126436,0.1549507183947234,-0.43042952787038047,0.3099014367894468,36.58650986898234
afternoon_utc,XAUT/USDT,22,-0.7510453935999704,0.0,0.0,0.0,-0.7510453935999704,0.0,16.52299865919935
afternoon_utc,XLM/USDT,76,-0.36264603284257935,0.0,0.0,0.0,-0.36264603284257935,0.0,27.56109849603603
afternoon_utc,XRP/USDT,49,-0.3341168628417758,0.0,0.0,0.0,-0.3341168628417758,0.0,16.371726279247014
afternoon_utc,ZEC/USDT,45,-0.46911818427180507,0.0,0.0,0.0,-0.46911818427180507,0.0,21.110318292231227
afternoon_utc,ZRO/USDT,9,-0.3881345161662092,0.0,0.0,0.0,-0.3881345161662092,0.0,3.493210645495883
evening_utc,AAVE/USDT,11,-0.654505553927239,0.0,0.0,0.0,-0.654505553927239,0.0,7.199561093199629
evening_utc,ALCH/USDT,8,-0.33300393279476975,0.0,0.0,0.0,-0.33300393279476975,0.0,2.664031462358158
evening_utc,ASTER/USDT,3,-0.39833482959463257,0.0,0.0,0.0,-0.39833482959463257,0.0,1.1950044887838978
evening_utc,AVAX/USDT,18,-0.5076983298528557,0.0,0.0,0.0,-0.5076983298528557,0.0,9.138569937351402
